PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection	
Pulse Inj 94cmhr TF21JUN2016A007:PulseInjection_UV1_280nm		Pulse Inj 94cmhr TF21JUN2016A007:PulseInjection_Cond		Pulse Inj 94cmhr TF21JUN2016A007:PulseInjection_pH		Pulse Inj 94cmhr TF21JUN2016A007:PulseInjection_Pressure		Pulse Inj 94cmhr TF21JUN2016A007:PulseInjection_Flow		Pulse Inj 94cmhr TF21JUN2016A007:PulseInjection_Inject		Pulse Inj 94cmhr TF21JUN2016A007:PulseInjection_Logbook	
min	 mAU	min	 mS/cm	min	 	min	 MPa	min	 ml/min	min	(Injections)	min	(Set Marks)
0	-0.145	0	87.156	0	5.87	0	0.24	0	3.15	0	" ""3"""	-0.005	" ""Block Pulse_Injection"""
0.012	-0.125	0.017	87.159	0.017	5.87	0.017	0.22	0.017	3.15	0.023	" ""3"""	-0.005	" ""Base Volume {ml}"""
0.023	-0.162	0.033	87.164	0.033	5.87	0.033	0.24	0.033	3.15	         	            	-0.005	" ""InjectionMark """
0.035	-0.144	0.05	87.172	0.05	5.87	0.05	0.26	0.05	3.15	         	            	-0.005	" ""InjectionValve Inject """
0.047	-0.146	0.067	87.176	0.067	5.87	0.067	0.24	0.067	3.15	         	            	0.155	" ""End Block"""
0.058	-0.153	0.083	87.173	0.083	5.87	0.083	0.25	0.083	3.15	         	            	0.155	" ""InjectionValve Load """
0.07	-0.152	0.1	87.162	0.1	5.87	0.1	0.26	0.1	3.15	         	            	0.175	" ""Flow     3.15 ml/min"""
0.082	-0.155	0.117	87.154	0.117	5.87	0.117	0.24	0.117	3.15	         	            	24.092	" ""End Block"""
0.093	-0.152	0.133	87.153	0.133	5.87	0.133	0.25	0.133	3.15	         	            	         	            
0.105	-0.165	0.15	87.155	0.15	5.87	0.15	0.24	0.15	3.15	         	            	         	            
0.117	-0.176	0.167	87.162	0.167	5.87	0.167	0.25	0.167	3.15	         	            	         	            
0.128	-0.202	0.183	87.171	0.183	5.87	0.183	0.25	0.183	3.15	         	            	         	            
0.14	-0.192	0.2	87.178	0.2	5.87	0.2	0.24	0.2	3.15	         	            	         	            
0.152	-0.166	0.217	87.18	0.217	5.87	0.217	0.24	0.217	3.15	         	            	         	            
0.163	-0.137	0.233	87.173	0.233	5.87	0.233	0.24	0.233	3.15	         	            	         	            
0.175	-0.145	0.25	87.161	0.25	5.87	0.25	0.24	0.25	3.15	         	            	         	            
0.187	-0.178	0.267	87.159	0.267	5.87	0.267	0.23	0.267	3.15	         	            	         	            
0.198	-0.196	0.283	87.16	0.283	5.87	0.283	0.25	0.283	3.15	         	            	         	            
0.21	-0.212	0.3	87.159	0.3	5.87	0.3	0.25	0.3	3.15	         	            	         	            
0.222	-0.17	0.317	87.149	0.317	5.87	0.317	0.24	0.317	3.15	         	            	         	            
0.233	-0.174	0.333	87.123	0.333	5.87	0.333	0.24	0.333	3.15	         	            	         	            
0.245	-0.162	0.35	87.106	0.35	5.87	0.35	0.24	0.35	3.15	         	            	         	            
0.257	-0.172	0.367	87.09	0.367	5.87	0.367	0.24	0.367	3.15	         	            	         	            
0.268	-0.171	0.383	87.074	0.383	5.87	0.383	0.24	0.383	3.15	         	            	         	            
0.28	-0.149	0.4	87.07	0.4	5.87	0.4	0.23	0.4	3.15	         	            	         	            
0.292	-0.171	0.417	87.076	0.417	5.87	0.417	0.23	0.417	3.15	         	            	         	            
0.303	-0.18	0.433	87.086	0.433	5.87	0.433	0.23	0.433	3.15	         	            	         	            
0.315	-0.18	0.45	87.096	0.45	5.87	0.45	0.24	0.45	3.15	         	            	         	            
0.327	-0.185	0.467	87.1	0.467	5.87	0.467	0.24	0.467	3.15	         	            	         	            
0.338	-0.148	0.483	87.098	0.483	5.87	0.483	0.24	0.483	3.15	         	            	         	            
0.35	-0.137	0.5	87.096	0.5	5.87	0.5	0.24	0.5	3.15	         	            	         	            
0.362	-0.125	0.517	87.103	0.517	5.87	0.517	0.24	0.517	3.15	         	            	         	            
0.373	-0.123	0.533	87.118	0.533	5.87	0.533	0.24	0.533	3.15	         	            	         	            
