PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection	
Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_UV1_280nm		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Cond		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_pH		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Pressure		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Flow		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Inject		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Logbook	
min	 mAU	min	 mS/cm	min	 	min	 MPa	min	 ml/min	min	(Injections)	min	(Set Marks)
0.367	-0.188	0.458	86.931	0.917	5.73	0.458	0.31	0.458	4.72	         	            	         	            
0.373	-0.193	0.467	86.923	0.933	5.73	0.467	0.3	0.467	4.72	         	            	         	            
0.38	-0.198	0.475	86.923	0.95	5.73	0.475	0.31	0.475	4.72	         	            	         	            
0.387	-0.195	0.483	86.924	0.967	5.73	0.483	0.31	0.483	4.72	         	            	         	            
0.393	-0.186	0.492	86.924	0.983	5.73	0.492	0.31	0.492	4.72	         	            	         	            
0.4	-0.178	0.5	86.933	1	5.73	0.5	0.3	0.5	4.72	         	            	         	            
0.407	-0.171	0.508	86.933	1.017	5.73	0.508	0.3	0.508	4.72	         	            	         	            
0.413	-0.172	0.517	86.938	1.033	5.73	0.517	0.3	0.517	4.72	         	            	         	            
0.42	-0.173	0.525	86.938	1.05	5.73	0.525	0.31	0.525	4.72	         	            	         	            
0.427	-0.169	0.533	86.948	1.067	5.73	0.533	0.31	0.533	4.72	         	            	         	            
0.433	-0.171	0.542	86.948	1.083	5.73	0.542	0.3	0.542	4.72	         	            	         	            
0.44	-0.17	0.55	86.946	1.1	5.73	0.55	0.3	0.55	4.72	         	            	         	            
0.447	-0.167	0.558	86.946	1.117	5.73	0.558	0.3	0.558	4.72	         	            	         	            
0.453	-0.155	0.567	86.941	1.133	5.73	0.567	0.3	0.567	4.72	         	            	         	            
0.46	-0.137	0.575	86.941	1.15	5.73	0.575	0.32	0.575	4.72	         	            	         	            
0.467	-0.135	0.583	86.946	1.167	5.73	0.583	0.31	0.583	4.72	         	            	         	            
0.473	-0.135	0.592	86.946	1.183	5.73	0.592	0.3	0.592	4.72	         	            	         	            
0.48	-0.137	0.6	86.945	1.2	5.73	0.6	0.3	0.6	4.72	         	            	         	            
0.487	-0.134	0.608	86.945	1.217	5.73	0.608	0.3	0.608	4.72	         	            	         	            
0.493	-0.137	0.617	86.927	1.233	5.73	0.617	0.3	0.617	4.72	         	            	         	            
0.5	-0.143	0.625	86.927	1.25	5.73	0.625	0.3	0.625	4.72	         	            	         	            
0.507	-0.152	0.633	86.908	1.267	5.73	0.633	0.3	0.633	4.72	         	            	         	            
0.513	-0.156	0.642	86.908	1.283	5.73	0.642	0.3	0.642	4.72	         	            	         	            
0.52	-0.153	0.65	86.898	1.3	5.73	0.65	0.3	0.65	4.72	         	            	         	            
0.527	-0.156	0.658	86.898	1.317	5.73	0.658	0.31	0.658	4.72	         	            	         	            
0.533	-0.157	0.667	86.878	1.333	5.73	0.667	0.3	0.667	4.72	         	            	         	            
0.54	-0.156	0.675	86.878	1.35	5.73	0.675	0.3	0.675	4.72	         	            	         	            
0.547	-0.156	0.683	86.868	1.367	5.73	0.683	0.3	0.683	4.72	         	            	         	            
0.553	-0.145	0.692	86.868	1.383	5.73	0.692	0.31	0.692	4.72	         	            	         	            
0.56	-0.128	0.7	86.876	1.4	5.73	0.7	0.31	0.7	4.72	         	            	         	            
0.567	-0.129	0.708	86.876	1.417	5.73	0.708	0.3	0.708	4.72	         	            	         	            
0.573	-0.134	0.717	86.885	1.433	5.73	0.717	0.3	0.717	4.72	         	            	         	            
0.58	-0.134	0.725	86.885	1.45	5.73	0.725	0.3	0.725	4.72	         	            	         	            
0.587	-0.134	0.733	86.891	1.467	5.73	0.733	0.3	0.733	4.72	         	            	         	            
0.593	-0.143	0.742	86.891	1.483	5.73	0.742	0.31	0.742	4.72	         	            	         	            
0.6	-0.168	0.75	86.899	1.5	5.73	0.75	0.3	0.75	4.72	         	            	         	            
0.607	-0.182	0.758	86.899	1.517	5.73	0.758	0.3	0.758	4.72	         	            	         	            
0.613	-0.183	0.767	86.901	1.533	5.73	0.767	0.3	0.767	4.72	         	            	         	            
0.62	-0.19	0.775	86.901	1.55	5.73	0.775	0.3	0.775	4.72	         	            	         	            
0.627	-0.193	0.783	86.908	1.567	5.73	0.783	0.31	0.783	4.72	         	            	         	            
0.633	-0.185	0.792	86.908	1.583	5.73	0.792	0.31	0.792	4.72	         	            	         	            
0.64	-0.176	0.8	86.924	1.6	5.73	0.8	0.31	0.8	4.72	         	            	         	            
0.647	-0.175	0.808	86.924	1.617	5.73	0.808	0.31	0.808	4.72	         	            	         	            
0.653	-0.19	0.817	86.918	1.633	5.73	0.817	0.31	0.817	4.72	         	            	         	            
0.66	-0.194	0.825	86.918	1.65	5.73	0.825	0.31	0.825	4.72	         	            	         	            
0.667	-0.192	0.833	86.902	1.667	5.73	0.833	0.3	0.833	4.72	         	            	         	            
0.673	-0.199	0.842	86.902	1.683	5.73	0.842	0.3	0.842	4.72	         	            	         	            
0.68	-0.209	0.85	86.901	1.7	5.73	0.85	0.3	0.85	4.72	         	            	         	            
0.687	-0.206	0.858	86.901	1.717	5.73	0.858	0.3	0.858	4.72	         	            	         	            
0.693	-0.187	0.867	86.904	1.733	5.73	0.867	0.31	0.867	4.72	         	            	         	            
0.7	-0.174	0.875	86.904	1.75	5.73	0.875	0.3	0.875	4.72	         	            	         	            
0.707	-0.18	0.883	86.901	1.767	5.73	0.883	0.29	0.883	4.72	         	            	         	            
0.713	-0.184	0.892	86.901	1.783	5.73	0.892	0.3	0.892	4.72	         	            	         	            
0.72	-0.187	0.9	86.901	1.8	5.73	0.9	0.3	0.9	4.72	         	            	         	            
0.727	-0.198	0.908	86.901	1.817	5.74	0.908	0.31	0.908	4.72	         	            	         	            
0.733	-0.222	0.917	86.915	1.833	5.74	0.917	0.3	0.917	4.72	         	            	         	            
0.74	-0.242	0.925	86.915	1.85	5.74	0.925	0.3	0.925	4.72	         	            	         	            
0.747	-0.237	0.933	86.924	1.867	5.74	0.933	0.3	0.933	4.72	         	            	         	            
0.753	-0.223	0.942	86.924	1.883	5.74	0.942	0.3	0.942	4.72	         	            	         	            
0.76	-0.209	0.95	86.921	1.9	5.74	0.95	0.31	0.95	4.72	         	            	         	            
0.767	-0.195	0.958	86.921	1.917	5.74	0.958	0.3	0.958	4.72	         	            	         	            
0.773	-0.181	0.967	86.919	1.933	5.74	0.967	0.3	0.967	4.72	         	            	         	            
0.78	-0.165	0.975	86.919	1.95	5.74	0.975	0.3	0.975	4.72	         	            	         	            
0.787	-0.168	0.983	86.926	1.967	5.74	0.983	0.3	0.983	4.72	         	            	         	            
0.793	-0.184	0.992	86.926	1.983	5.74	0.992	0.3	0.992	4.72	         	            	         	            
0.8	-0.199	1	86.929	2	5.74	1	0.29	1	4.72	         	            	         	            
0.807	-0.2	1.008	86.929	2.017	5.74	1.008	0.3	1.008	4.72	         	            	         	            
0.813	-0.196	1.017	86.919	2.033	5.74	1.017	0.3	1.017	4.72	         	            	         	            
0.82	-0.206	1.025	86.919	2.05	5.74	1.025	0.3	1.025	4.72	         	            	         	            
0.827	-0.205	1.033	86.906	2.067	5.74	1.033	0.31	1.033	4.72	         	            	         	            
0.833	-0.21	1.042	86.906	2.083	5.74	1.042	0.31	1.042	4.72	         	            	         	            
0.84	-0.211	1.05	86.904	2.1	5.74	1.05	0.31	1.05	4.72	         	            	         	            
0.847	-0.212	1.058	86.904	2.117	5.74	1.058	0.31	1.058	4.72	         	            	         	            
0.853	-0.216	1.067	86.904	2.133	5.74	1.067	0.31	1.067	4.72	         	            	         	            
0.86	-0.207	1.075	86.904	2.15	5.74	1.075	0.31	1.075	4.72	         	            	         	            
0.867	-0.198	1.083	86.912	2.167	5.74	1.083	0.31	1.083	4.72	         	            	         	            
0.873	-0.185	1.092	86.912	2.183	5.74	1.092	0.3	1.092	4.72	         	            	         	            
0.88	-0.183	1.1	86.92	2.2	5.74	1.1	0.3	1.1	4.72	         	            	         	            
0.887	-0.191	1.108	86.92	2.217	5.74	1.108	0.3	1.108	4.72	         	            	         	            
0.893	-0.188	1.117	86.924	2.233	5.74	1.117	0.3	1.117	4.72	         	            	         	            
0.9	-0.201	1.125	86.924	2.25	5.74	1.125	0.3	1.125	4.72	         	            	         	            
0.907	-0.215	1.133	86.927	2.267	5.74	1.133	0.3	1.133	4.72	         	            	         	            
0.913	-0.216	1.142	86.927	2.283	5.74	1.142	0.3	1.142	4.72	         	            	         	            
0.92	-0.205	1.15	86.929	2.3	5.74	1.15	0.31	1.15	4.72	         	            	         	            
0.927	-0.204	1.158	86.929	2.317	5.74	1.158	0.31	1.158	4.72	         	            	         	            
0.933	-0.213	1.167	86.931	2.333	5.74	1.167	0.3	1.167	4.72	         	            	         	            
0.94	-0.218	1.175	86.931	2.35	5.74	1.175	0.3	1.175	4.72	         	            	         	            
0.947	-0.213	1.183	86.929	2.367	5.74	1.183	0.31	1.183	4.72	         	            	         	            
0.953	-0.202	1.192	86.929	2.383	5.74	1.192	0.31	1.192	4.72	         	            	         	            
0.96	-0.212	1.2	86.92	2.4	5.74	1.2	0.3	1.2	4.72	         	            	         	            
0.967	-0.216	1.208	86.92	2.417	5.74	1.208	0.3	1.208	4.72	         	            	         	            
0.973	-0.203	1.217	86.903	2.433	5.74	1.217	0.31	1.217	4.72	         	            	         	            
0.98	-0.19	1.225	86.903	2.45	5.74	1.225	0.31	1.225	4.72	         	            	         	            
0.987	-0.184	1.233	86.893	2.467	5.74	1.233	0.3	1.233	4.72	         	            	         	            
0.993	-0.187	1.242	86.893	2.483	5.74	1.242	0.3	1.242	4.72	         	            	         	            
1	-0.191	1.25	86.895	2.5	5.74	1.25	0.3	1.25	4.72	         	            	         	            
1.007	-0.189	1.258	86.895	2.517	5.74	1.258	0.3	1.258	4.72	         	            	         	            
1.013	-0.195	1.267	86.902	2.533	5.75	1.267	0.3	1.267	4.72	         	            	         	            
1.02	-0.212	1.275	86.902	2.55	5.75	1.275	0.3	1.275	4.72	         	            	         	            
1.027	-0.22	1.283	86.915	2.567	5.75	1.283	0.31	1.283	4.72	         	            	         	            
1.033	-0.229	1.292	86.915	2.583	5.75	1.292	0.31	1.292	4.72	         	            	         	            
1.04	-0.24	1.3	86.934	2.6	5.75	1.3	0.3	1.3	4.72	         	            	         	            
1.047	-0.233	1.308	86.934	2.617	5.75	1.308	0.31	1.308	4.72	         	            	         	            
1.053	-0.216	1.317	86.947	2.633	5.75	1.317	0.31	1.317	4.72	         	            	         	            
1.06	-0.219	1.325	86.947	2.65	5.75	1.325	0.3	1.325	4.72	         	            	         	            
1.067	-0.228	1.333	86.95	2.667	5.75	1.333	0.31	1.333	4.72	         	            	         	            
1.073	-0.226	1.342	86.95	2.683	5.75	1.342	0.3	1.342	4.72	         	            	         	            
1.08	-0.218	1.35	86.937	2.7	5.75	1.35	0.3	1.35	4.72	         	            	         	            
1.087	-0.22	1.358	86.937	2.717	5.75	1.358	0.3	1.358	4.72	         	            	         	            
1.093	-0.24	1.367	86.922	2.733	5.75	1.367	0.3	1.367	4.72	         	            	         	            
1.1	-0.25	1.375	86.922	2.75	5.75	1.375	0.3	1.375	4.72	         	            	         	            
1.107	-0.237	1.383	86.914	2.767	5.75	1.383	0.29	1.383	4.72	         	            	         	            
1.113	-0.228	1.392	86.914	2.783	5.75	1.392	0.3	1.392	4.72	         	            	         	            
1.12	-0.222	1.4	86.909	2.8	5.75	1.4	0.31	1.4	4.72	         	            	         	            
1.127	-0.22	1.408	86.909	2.817	5.75	1.408	0.32	1.408	4.72	         	            	         	            
1.133	-0.222	1.417	86.903	2.833	5.75	1.417	0.32	1.417	4.72	         	            	         	            
1.14	-0.217	1.425	86.903	2.85	5.75	1.425	0.31	1.425	4.72	         	            	         	            
1.147	-0.219	1.433	86.893	2.867	5.75	1.433	0.3	1.433	4.72	         	            	         	            
1.153	-0.219	1.442	86.893	2.883	5.75	1.442	0.3	1.442	4.72	         	            	         	            
1.16	-0.21	1.45	86.887	2.9	5.75	1.45	0.3	1.45	4.72	         	            	         	            
1.167	-0.208	1.458	86.887	2.917	5.75	1.458	0.3	1.458	4.72	         	            	         	            
1.173	-0.199	1.467	86.883	2.933	5.75	1.467	0.3	1.467	4.72	         	            	         	            
1.18	-0.197	1.475	86.883	2.95	5.75	1.475	0.29	1.475	4.72	         	            	         	            
1.187	-0.196	1.483	86.879	2.967	5.75	1.483	0.3	1.483	4.72	         	            	         	            
1.193	-0.189	1.492	86.879	2.983	5.75	1.492	0.3	1.492	4.72	         	            	         	            
1.2	-0.2	1.5	86.877	3	5.75	1.5	0.3	1.5	4.72	         	            	         	            
1.207	-0.216	1.508	86.877	3.017	5.75	1.508	0.31	1.508	4.72	         	            	         	            
1.213	-0.224	1.517	86.876	3.033	5.75	1.517	0.31	1.517	4.72	         	            	         	            
1.22	-0.224	1.525	86.876	3.05	5.75	1.525	0.31	1.525	4.72	         	            	         	            
1.227	-0.213	1.533	86.875	3.067	5.75	1.533	0.31	1.533	4.72	         	            	         	            
1.233	-0.209	1.542	86.875	3.083	5.75	1.542	0.3	1.542	4.72	         	            	         	            
1.24	-0.212	1.55	86.877	3.1	5.75	1.55	0.3	1.55	4.72	         	            	         	            
1.247	-0.206	1.558	86.877	3.117	5.75	1.558	0.3	1.558	4.72	         	            	         	            
1.253	-0.199	1.567	86.883	3.133	5.75	1.567	0.3	1.567	4.72	         	            	         	            
1.26	-0.199	1.575	86.883	3.15	5.75	1.575	0.3	1.575	4.72	         	            	         	            
1.267	-0.206	1.583	86.891	3.167	5.75	1.583	0.29	1.583	4.72	         	            	         	            
1.273	-0.222	1.592	86.891	3.183	5.75	1.592	0.29	1.592	4.72	         	            	         	            
1.28	-0.236	1.6	86.9	3.2	5.75	1.6	0.3	1.6	4.72	         	            	         	            
1.287	-0.237	1.608	86.9	3.217	5.75	1.608	0.3	1.608	4.72	         	            	         	            
1.293	-0.235	1.617	86.908	3.233	5.75	1.617	0.3	1.617	4.72	         	            	         	            
1.3	-0.227	1.625	86.908	3.25	5.75	1.625	0.3	1.625	4.72	         	            	         	            
1.307	-0.216	1.633	86.919	3.267	5.75	1.633	0.3	1.633	4.72	         	            	         	            
1.313	-0.212	1.642	86.919	3.283	5.75	1.642	0.31	1.642	4.72	         	            	         	            
1.32	-0.204	1.65	86.923	3.3	5.75	1.65	0.31	1.65	4.72	         	            	         	            
1.327	-0.2	1.658	86.923	3.317	5.75	1.658	0.3	1.658	4.72	         	            	         	            
1.333	-0.203	1.667	86.914	3.333	5.75	1.667	0.3	1.667	4.72	         	            	         	            
1.34	-0.208	1.675	86.914	3.35	5.75	1.675	0.3	1.675	4.72	         	            	         	            
1.347	-0.221	1.683	86.898	3.367	5.75	1.683	0.3	1.683	4.72	         	            	         	            
1.353	-0.223	1.692	86.898	3.383	5.75	1.692	0.3	1.692	4.72	         	            	         	            
1.36	-0.219	1.7	86.893	3.4	5.75	1.7	0.3	1.7	4.72	         	            	         	            
1.367	-0.222	1.708	86.893	3.417	5.75	1.708	0.3	1.708	4.72	         	            	         	            
1.373	-0.226	1.717	86.897	3.433	5.75	1.717	0.3	1.717	4.72	         	            	         	            
1.38	-0.235	1.725	86.897	3.45	5.75	1.725	0.3	1.725	4.72	         	            	         	            
1.387	-0.24	1.733	86.899	3.467	5.75	1.733	0.31	1.733	4.72	         	            	         	            
1.393	-0.239	1.742	86.899	3.483	5.75	1.742	0.31	1.742	4.72	         	            	         	            
1.4	-0.24	1.75	86.902	3.5	5.75	1.75	0.3	1.75	4.72	         	            	         	            
1.407	-0.247	1.758	86.902	3.517	5.75	1.758	0.31	1.758	4.72	         	            	         	            
1.413	-0.248	1.767	86.911	3.533	5.75	1.767	0.3	1.767	4.72	         	            	         	            
1.42	-0.249	1.775	86.911	3.55	5.75	1.775	0.3	1.775	4.72	         	            	         	            
1.427	-0.251	1.783	86.914	3.567	5.75	1.783	0.31	1.783	4.72	         	            	         	            
1.433	-0.243	1.792	86.914	3.583	5.75	1.792	0.3	1.792	4.72	         	            	         	            
1.44	-0.248	1.8	86.919	3.6	5.75	1.8	0.29	1.8	4.72	         	            	         	            
1.447	-0.257	1.808	86.919	3.617	5.75	1.808	0.3	1.808	4.72	         	            	         	            
1.453	-0.253	1.817	86.932	3.633	5.75	1.817	0.3	1.817	4.72	         	            	         	            
1.46	-0.244	1.825	86.932	3.65	5.75	1.825	0.3	1.825	4.72	         	            	         	            
1.467	-0.251	1.833	86.942	3.667	5.75	1.833	0.29	1.833	4.72	         	            	         	            
1.473	-0.269	1.842	86.942	3.683	5.75	1.842	0.3	1.842	4.72	         	            	         	            
1.48	-0.274	1.85	86.942	3.7	5.75	1.85	0.3	1.85	4.72	         	            	         	            
1.487	-0.266	1.858	86.942	3.717	5.75	1.858	0.31	1.858	4.72	         	            	         	            
1.493	-0.249	1.867	86.938	3.733	5.75	1.867	0.31	1.867	4.72	         	            	         	            
1.5	-0.253	1.875	86.938	3.75	5.75	1.875	0.3	1.875	4.72	         	            	         	            
1.507	-0.257	1.883	86.938	3.767	5.75	1.883	0.3	1.883	4.72	         	            	         	            
1.513	-0.249	1.892	86.938	3.783	5.75	1.892	0.3	1.892	4.72	         	            	         	            
1.52	-0.252	1.9	86.931	3.8	5.75	1.9	0.31	1.9	4.72	         	            	         	            
1.527	-0.253	1.908	86.931	3.817	5.75	1.908	0.3	1.908	4.72	         	            	         	            
1.533	-0.259	1.917	86.923	3.833	5.75	1.917	0.3	1.917	4.72	         	            	         	            
1.54	-0.275	1.925	86.923	3.85	5.75	1.925	0.3	1.925	4.72	         	            	         	            
1.547	-0.276	1.933	86.922	3.867	5.75	1.933	0.3	1.933	4.72	         	            	         	            
1.553	-0.253	1.942	86.922	3.883	5.75	1.942	0.3	1.942	4.72	         	            	         	            
1.56	-0.236	1.95	86.92	3.9	5.75	1.95	0.31	1.95	4.72	         	            	         	            
1.567	-0.227	1.958	86.92	3.917	5.75	1.958	0.3	1.958	4.72	         	            	         	            
1.573	-0.229	1.967	86.919	3.933	5.75	1.967	0.3	1.967	4.72	         	            	         	            
1.58	-0.229	1.975	86.919	3.95	5.75	1.975	0.3	1.975	4.72	         	            	         	            
1.587	-0.211	1.983	86.925	3.967	5.75	1.983	0.3	1.983	4.72	         	            	         	            
1.593	-0.206	1.992	86.925	3.983	5.75	1.992	0.31	1.992	4.72	         	            	         	            
1.6	-0.21	2	86.937	4	5.75	2	0.31	2	4.72	         	            	         	            
1.607	-0.21	2.008	86.937	4.017	5.75	2.008	0.3	2.008	4.72	         	            	         	            
1.613	-0.209	2.017	86.951	4.033	5.75	2.017	0.3	2.017	4.72	         	            	         	            
