PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection	
Pulse Inj 188cmhr TF21JUN2016A004:PulseInjection_UV1_280nm		Pulse Inj 188cmhr TF21JUN2016A004:PulseInjection_Cond		Pulse Inj 188cmhr TF21JUN2016A004:PulseInjection_pH		Pulse Inj 188cmhr TF21JUN2016A004:PulseInjection_Pressure		Pulse Inj 188cmhr TF21JUN2016A004:PulseInjection_Flow		Pulse Inj 188cmhr TF21JUN2016A004:PulseInjection_Inject		Pulse Inj 188cmhr TF21JUN2016A004:PulseInjection_Logbook	
min	 mAU	min	 mS/cm	min	 	min	 MPa	min	 ml/min	min	(Injections)	min	(Set Marks)
0	-0.198	0	87.075	0	5.78	0	0.25	0	3.15	0	" ""3"""	-0.007	" ""Block Pulse_Injection"""
0.005	-0.193	0.008	87.072	0.017	5.78	0.008	0.25	0.008	3.15	0.023	" ""3"""	-0.007	" ""Base Volume {ml}"""
0.01	-0.191	0.017	87.072	0.033	5.78	0.017	0.24	0.017	3.15	         	            	-0.007	" ""InjectionMark """
0.015	-0.191	0.025	87.069	0.05	5.78	0.025	0.25	0.025	3.15	         	            	-0.007	" ""InjectionValve Inject """
0.02	-0.201	0.033	87.069	0.067	5.78	0.033	0.26	0.033	3.15	         	            	0.152	" ""End Block"""
0.025	-0.217	0.042	87.073	0.083	5.78	0.042	0.26	0.042	3.15	         	            	0.152	" ""InjectionValve Load """
0.03	-0.229	0.05	87.073	0.1	5.78	0.05	0.26	0.05	3.15	         	            	0.172	" ""Flow     6.30 ml/min"""
0.035	-0.238	0.058	87.082	0.117	5.78	0.058	0.25	0.058	3.15	         	            	12.948	" ""End Block"""
0.04	-0.245	0.067	87.082	0.133	5.78	0.067	0.25	0.067	3.15	         	            	         	            
0.045	-0.251	0.075	87.099	0.15	5.78	0.075	0.25	0.075	3.15	         	            	         	            
0.05	-0.256	0.083	87.099	0.167	5.78	0.083	0.25	0.083	3.15	         	            	         	            
0.055	-0.253	0.092	87.115	0.183	5.78	0.092	0.25	0.092	3.15	         	            	         	            
0.06	-0.261	0.1	87.115	0.2	5.78	0.1	0.25	0.1	3.15	         	            	         	            
0.065	-0.273	0.108	87.113	0.217	5.78	0.108	0.25	0.108	3.15	         	            	         	            
0.07	-0.277	0.117	87.113	0.233	5.78	0.117	0.25	0.117	3.15	         	            	         	            
0.075	-0.268	0.125	87.102	0.25	5.78	0.125	0.25	0.125	3.15	         	            	         	            
0.08	-0.267	0.133	87.102	0.267	5.78	0.133	0.25	0.133	3.15	         	            	         	            
0.085	-0.275	0.142	87.106	0.283	5.78	0.142	0.25	0.142	3.15	         	            	         	            
0.09	-0.289	0.15	87.106	0.3	5.78	0.15	0.25	0.15	3.15	         	            	         	            
0.095	-0.299	0.158	87.116	0.317	5.78	0.158	0.26	0.158	3.15	         	            	         	            
0.1	-0.306	0.167	87.116	0.333	5.78	0.167	0.25	0.167	3.15	         	            	         	            
0.105	-0.293	0.175	87.116	0.35	5.78	0.175	0.26	0.175	3.15	         	            	         	            
0.11	-0.276	0.183	87.116	0.367	5.78	0.183	0.26	0.183	3.15	         	            	         	            
