Prod001 27APR2015:10_UV1_280nm	0	Prod001 27APR2015:10_Cond	0	Prod001 27APR2015:10_Conc	0	Prod001 27APR2015:10_Flow	0	Prod001 27APR2015:10_pH	0	Prod001 27APR2015:10_Temp	0	Prod001 27APR2015:10_Fractions	0	Prod001 27APR2015:10_Logbook	0
min	 mAU	min	 mS/cm	min	 %B	min	 ml/min	min	 	min	 C	min	(Fractions)	min	(Set Marks)
15.16	0.312	16	2.16	16	0	16	32.6	16	4.76	16	23.5		            	-41.497	" ""InletA InletA3 """
15.533	0.341	16.4	2.327	16.4	0	16.4	32.6	16.4	4.74	16.4	23.5		            	-41.477	" ""Columns Col1BypassCol2Bypass """
15.906	0.468	16.8	2.492	16.8	0	16.8	32.6	16.8	4.74	16.8	23.5		            	-41.477	" ""Alarm_AirSensor1 Disabled"""
16.28	0.516	17.2	2.637	17.2	0	17.2	32.6	17.2	4.74	17.2	23.5		            	-41.477	" ""Flow    100.0 ml/min"""
16.653	0.564	17.6	2.754	17.6	0	17.6	32.6	17.6	4.74	17.6	23.5		            	-39.402	" ""Alarm_AirSensor1 Enabled"""
17.026	0.63	18	2.845	18	0	18	32.6	18	4.74	18	23.5		            	-39.402	" ""Flow     67.0 ml/min"""
17.4	0.635	18.4	2.913	18.4	0	18.4	32.6	18.4	4.72	18.4	23.5		            	-39.402	" ""Columns Col1Bypass_Col2Down """
17.773	0.69	18.8	2.964	18.8	0	18.8	32.6	18.8	4.72	18.8	23.5		            	-39.402	" ""Pre-Equil"""
18.146	0.718	19.2	3.002	19.2	0	19.2	32.6	19.2	4.7	19.2	23.5			-39.3	" ""Gradient 0%B set  1    """
18.52	0.71	19.6	3.029	19.6	0	19.6	32.6	19.6	4.7	19.6	23.5			-27.605	" ""End Block"""
18.893	0.721	20	3.05	20	0	20	32.6	20	4.68	20	23.5			-27.605	" ""Block Equil_20Acetate"""
19.266	0.746	20.4	3.06	20.4	0	20.4	32.6	20.4	4.67	20.4	23.6			-27.605	" ""Base SameAsMain"""
19.64	0.769	20.8	3.063	20.8	0	20.8	32.6	20.8	4.65	20.8	23.6			-27.605	" ""InletB InletB1 """
20.013	0.768	21.2	3.066	21.2	0	21.2	32.6	21.2	4.63	21.2	23.6			-27.605	" ""Airtrap_Filter Bypass """
20.386	0.734	21.6	3.068	21.6	0	21.6	32.6	21.6	4.61	21.6	23.6			-27.605	" ""Flow    100.0 ml/min"""
20.76	0.75	22	3.069	22	0	22	32.6	22	4.63	22	23.6			-27.605	" ""Columns Col1BypassCol2Bypass """
21.133	0.783	22.4	3.068	22.4	0	22.4	32.6	22.4	4.59	22.4	23.7			-27.605	" ""Gradient   100.00 %B,    0.000 CV"""
21.506	0.76	22.8	3.067	22.8	0	22.8	32.6	22.8	4.59	22.8	23.7			-27.605	" ""InletB InletB1 """
21.88	0.833	23.2	3.067	23.2	0	23.2	32.6	23.2	4.59	23.2	23.7			-25.445	" ""InletA InletA4 """
22.253	0.861	23.6	3.067	23.6	0	23.6	32.6	23.6	4.58	23.6	23.7			-25.445	" ""Airtrap_Filter Inline """
22.626	0.886	24	3.067	24	0	24	32.6	24	4.58	24	23.7			-25.445	" ""Gradient     0.00 %B,    0.000 CV"""
23	0.894	24.4	3.067	24.4	0	24.4	32.6	24.4	4.58	24.4	23.7			-25.445	" ""InletB Closed """
23.373	0.926	24.8	3.066	24.8	0	24.8	32.6	24.8	4.58	24.8	23.7			-25.418	" ""Gradient 0%B set  1    """
23.746	0.965	25.2	3.065	25.2	0	25.2	32.6	25.2	4.58	25.2	23.7			-23.35	"""Columns Col1Bypass_Col2Down """
24.12	1.015	25.6	3.065	25.6	0	25.6	32.6	25.6	4.57	25.6	23.7			-23.35	" ""Flow     67.0 ml/min"""
24.493	1.049	26	3.064	26	0	26	32.6	26	4.57	26	23.7			-23.35	" ""Equil"""
24.866	1.105	26.4	3.065	26.4	0	26.4	32.6	26.4	4.56	26.4	23.7			-1.935	" ""AutoZeroUV """
25.24	1.194	26.8	3.065	26.8	0	26.8	32.6	26.8	4.56	26.8	23.7			0	" ""End Block"""
25.613	1.201	27.2	3.064	27.2	0	27.2	32.6	27.2	4.56	27.2	23.7			0	" ""Block Load"""
25.986	1.282	27.6	3.063	27.6	0	27.6	32.6	27.6	4.56	27.6	23.7			0	" ""Base Volume {ml}"""
26.36	1.38	28	3.063	28	0	28	32.6	28	4.56	28	23.7			0	" ""Message ""Put inlet A4 in Load Press continue."", Screen, ""drumroll"""""
26.733	1.415	28.4	3.062	28.4	0	28.4	32.6	28.4	4.56	28.4	23.7			0	" ""InletA InletA4 """
27.106	1.488	28.8	3.06	28.8	0	28.8	32.6	28.8	4.56	28.8	23.7			0	" ""Flow     32.6 ml/min"""
27.48	1.538	29.2	3.059	29.2	0	29.2	32.6	29.2	4.56	29.2	23.7			0	" ""Load"""
27.853	1.651	29.6	3.059	29.6	0	29.6	32.6	29.6	4.56	29.6	23.7			0.013	" ""Gradient 0%B set  1    """
28.226	1.691	30	3.058	30	0	30	32.6	30	4.56	30	23.7			67.093	" ""Next Breakpoint (Manual)"""
28.6	1.773	30.4	3.057	30.4	0	30.4	32.6	30.4	4.56	30.4	23.7			67.093	" ""End Block"""
28.973	1.849	30.8	3.056	30.8	0	30.8	32.6	30.8	4.56	30.8	23.7			67.093	" ""Block Wash_20Acetate"""
29.346	1.93	31.2	3.055	31.2	0	31.2	32.6	31.2	4.56	31.2	23.7			67.093	" ""Base SameAsMain"""
29.72	1.98	31.6	3.055	31.6	0	31.6	32.6	31.6	4.56	31.6	23.7			67.093	" ""Message ""Put inlet A4 in Equil buffer and hit continue"", Screen, ""laser"""""
30.093	2.069	32	3.054	32	0	32	32.6	32	4.56	32	23.7			67.093	" ""Pause 5/1/2015, 11:39:51 AM"""
30.466	2.178	32.4	3.047	32.4	0	32.4	32.6	32.4	4.56	32.4	23.7			67.093	" ""Pause 5/1/2015, 11:39:51 AM"""
30.84	2.263	32.8	3.052	32.8	0	32.8	32.6	32.8	4.55	32.8	23.7			67.093	" ""InletA InletA4 """
31.213	2.301	33.2	3.052	33.2	0	33.2	32.6	33.2	4.55	33.2	23.7			67.093	" ""Wash"""
31.586	2.392	33.6	3.052	33.6	0	33.6	32.6	33.6	4.55	33.6	23.7			67.112	" ""Gradient 0%B set  1    """
31.96	2.474	34	3.051	34	0	34	32.6	34	4.54	34	23.7			91.018	" ""Outlet OutletF2 """
32.333	2.556	34.4	3.05	34.4	0	34.4	32.6	34.4	4.54	34.4	23.7			114.87	" ""End Block"""
32.706	2.618	34.8	3.049	34.8	0	34.8	32.6	34.8	4.54	34.8	23.7			114.87	" ""Block Elution_B_20Acetate_200NaCl"""
33.08	2.689	35.2	3.049	35.2	0	35.2	32.6	35.2	4.54	35.2	23.7			114.87	" ""Base SameAsMain"""
