Prod001 27APR2015:10_UV1_280nm	0	Prod001 27APR2015:10_Cond	0	Prod001 27APR2015:10_Conc	0	Prod001 27APR2015:10_Flow	0	Prod001 27APR2015:10_pH	0	Prod001 27APR2015:10_Temp	0	Prod001 27APR2015:10_Fractions	0	Prod001 27APR2015:10_Logbook	0
min	 mAU	min	 mS/cm	min	 %B	min	 ml/min	min	 	min	 C	min	(Fractions)	min	(Set Marks)
81.986	9.483	87.6	1.764	87.6	0	87.6	32.6	87.6	4.59	87.6	23.9				
82.36	8.545	88	1.762	88	0	88	32.6	88	4.59	88	23.9				
82.733	7.008	88.4	1.762	88.4	0	88.4	32.6	88.4	4.59	88.4	23.9				
83.106	5.019	88.8	1.762	88.8	0	88.8	32.6	88.8	4.59	88.8	23.9				
83.48	3.155	89.2	1.762	89.2	0	89.2	32.6	89.2	4.59	89.2	23.9				
83.853	1.815	89.6	1.765	89.6	0	89.6	32.6	89.6	4.61	89.6	23.9				
84.226	1.047	90	1.767	90	0	90	32.6	90	4.61	90	23.9				
84.6	0.602	90.4	1.769	90.4	0	90.4	32.6	90.4	4.61	90.4	23.9				
84.973	0.383	90.8	1.776	90.8	0	90.8	32.6	90.8	4.63	90.8	23.9				
85.346	0.232	91.2	1.778	91.2	0	91.2	32.6	91.2	4.63	91.2	23.9				
85.72	0.22	91.6	1.781	91.6	0	91.6	32.6	91.6	4.63	91.6	23.9				
86.093	0.169	92	1.784	92	0	92	32.6	92	4.64	92	23.9				
86.466	0.165	92.4	1.786	92.4	0	92.4	32.6	92.4	4.64	92.4	23.9				
86.84	0.166	92.8	1.788	92.8	0	92.8	32.6	92.8	4.66	92.8	23.9				
87.213	0.151	93.2	1.791	93.2	0	93.2	32.6	93.2	4.66	93.2	23.9				
87.586	0.132	93.6	1.792	93.6	0	93.6	32.6	93.6	4.66	93.6	23.9				
87.96	0.175	94	1.793	94	0	94	32.6	94	4.66	94	23.9				
88.333	0.2	94.4	1.794	94.4	0	94.4	32.6	94.4	4.66	94.4	23.9				
88.706	0.198	94.8	1.795	94.8	0	94.8	32.6	94.8	4.67	94.8	23.9				
89.08	0.227	95.2	1.796	95.2	0	95.2	32.6	95.2	4.68	95.2	23.9				
89.453	0.19	95.6	1.797	95.6	0	95.6	32.6	95.6	4.68	95.6	23.9				
89.826	0.258	96	1.798	96	0	96	32.6	96	4.68	96	23.9				
90.2	0.268	96.4	1.799	96.4	0	96.4	32.6	96.4	4.68	96.4	23.9				
90.573	0.285	96.8	1.799	96.8	0	96.8	32.6	96.8	4.68	96.8	23.9				
90.946	0.328	97.2	1.799	97.2	0	97.2	32.6	97.2	4.68	97.2	23.9				
91.32	0.382	97.6	1.799	97.6	0	97.6	32.6	97.6	4.68	97.6	23.9				
91.693	0.447	98	1.799	98	0	98	32.6	98	4.68	98	23.9				
92.066	0.497	98.4	1.8	98.4	0	98.4	32.6	98.4	4.67	98.4	23.9				
92.44	0.575	98.8	1.8	98.8	0	98.8	32.6	98.8	4.67	98.8	24				
92.813	0.633	99.2	1.798	99.2	0	99.2	32.6	99.2	4.67	99.2	24				
93.186	0.659	99.6	1.798	99.6	0	99.6	32.6	99.6	4.67	99.6	24				
93.56	0.72	100	1.799	100	0	100	32.6	100	4.67	100	24				
93.933	0.749	100.4	1.798	100.4	0	100.4	32.6	100.4	4.67	100.4	24				
94.306	0.769	100.8	1.797	100.8	0	100.8	32.6	100.8	4.67	100.8	24				
94.68	0.751	101.2	1.797	101.2	0	101.2	32.6	101.2	4.67	101.2	24				
95.053	0.813	101.6	1.797	101.6	0	101.6	32.6	101.6	4.67	101.6	24				
95.426	0.827	102	1.797	102	0	102	32.6	102	4.67	102	24				
95.8	0.814	102.4	1.797	102.4	0	102.4	32.6	102.4	4.67	102.4	24				
96.173	0.8	102.8	1.798	102.8	0	102.8	32.6	102.8	4.67	102.8	24				
96.546	0.84	103.2	1.798	103.2	0	103.2	32.6	103.2	4.67	103.2	24				
96.92	0.844	103.6	1.798	103.6	0	103.6	32.6	103.6	4.67	103.6	24				
97.293	0.841	104	1.797	104	0	104	32.6	104	4.67	104	24				
97.666	0.867	104.4	1.798	104.4	0	104.4	32.6	104.4	4.67	104.4	24				
98.04	0.891	104.8	1.797	104.8	0	104.8	32.6	104.8	4.67	104.8	24				
98.413	0.867	105.2	1.797	105.2	0	105.2	32.6	105.2	4.67	105.2	24				
98.786	0.842	105.6	1.798	105.6	0	105.6	32.6	105.6	4.67	105.6	24				
99.16	0.873	106	1.798	106	0	106	32.6	106	4.67	106	24				
99.533	0.906	106.4	1.798	106.4	0	106.4	32.6	106.4	4.67	106.4	24				
99.906	0.846	106.8	1.798	106.8	0	106.8	32.6	106.8	4.67	106.8	24				
100.28	0.84	107.2	1.798	107.2	0	107.2	32.6	107.2	4.67	107.2	24				
100.653	0.867	107.6	1.798	107.6	0	107.6	32.6	107.6	4.67	107.6	24.1				
101.026	0.844	108	1.798	108	0	108	32.6	108	4.67	108	24.1				
101.4	0.872	108.4	1.798	108.4	0	108.4	32.6	108.4	4.67	108.4	24.1				
101.773	0.835	108.8	1.798	108.8	0	108.8	32.6	108.8	4.67	108.8	24.1				
102.146	0.88	109.2	1.797	109.2	0	109.2	32.6	109.2	4.67	109.2	24.1				
102.52	0.89	109.6	1.797	109.6	0	109.6	32.6	109.6	4.66	109.6	24.1				
102.893	0.809	110	1.796	110	0	110	32.6	110	4.66	110	24.1				
103.266	0.853	110.4	1.797	110.4	0	110.4	32.6	110.4	4.66	110.4	24.1				
103.64	0.855	110.8	1.796	110.8	0	110.8	32.6	110.8	4.66	110.8	24.1				
104.013	0.843	111.2	1.796	111.2	0	111.2	32.6	111.2	4.66	111.2	24.1				
104.386	0.844	111.6	1.795	111.6	0	111.6	32.6	111.6	4.65	111.6	24.1				
104.76	0.878	112	1.794	112	0	112	32.6	112	4.65	112	24.1				
105.133	0.876	112.4	1.794	112.4	0	112.4	32.6	112.4	4.65	112.4	24.1				
105.506	0.868	112.8	1.795	112.8	0	112.8	32.6	112.8	4.65	112.8	24.1				
105.88	0.881	113.2	1.796	113.2	0	113.2	32.6	113.2	4.65	113.2	24.1				
106.253	0.878	113.6	1.796	113.6	0	113.6	32.6	113.6	4.65	113.6	24.1				
106.626	0.864	114	1.796	114	0	114	32.6	114	4.65	114	24.1				
107	0.886	114.4	1.796	114.4	0	114.4	32.6	114.4	4.65	114.4	24.1				
107.373	0.902	114.8	1.822	114.8	0.2	114.8	32.6	114.8	4.66	114.8	24.4				
107.746	0.886	115.2	1.786	115.2	0.5	115.2	32.6	115.2	4.65	115.2	24.5				
108.12	0.877	115.6	1.779	115.6	0.8	115.6	32.6	115.6	4.65	115.6	24.5				
108.493	0.892	116	1.786	116	1.1	116	32.6	116	4.65	116	24.4				
108.866	0.894	116.4	1.788	116.4	1.4	116.4	32.6	116.4	4.65	116.4	24.4				
109.24	0.871	116.8	1.789	116.8	1.7	116.8	32.6	116.8	4.65	116.8	24.4				
109.613	0.909	117.2	1.788	117.2	2	117.2	32.6	117.2	4.65	117.2	24.4				
109.986	0.917	117.6	1.788	117.6	2.3	117.6	32.6	117.6	4.65	117.6	24.4				
110.36	0.902	118	1.788	118	2.6	118	32.6	118	4.65	118	24.4				
110.733	0.897	118.4	1.788	118.4	2.9	118.4	32.6	118.4	4.65	118.4	24.4				
111.106	0.87	118.8	1.788	118.8	3.2	118.8	32.6	118.8	4.65	118.8	24.4				
111.48	0.879	119.2	1.788	119.2	3.5	119.2	32.6	119.2	4.65	119.2	24.4				
111.853	0.893	119.6	1.788	119.6	3.8	119.6	32.6	119.6	4.65	119.6	24.4				
112.226	0.843	120	1.789	120	4.1	120	32.6	120	4.65	120	24.4				
112.6	0.888	120.4	1.789	120.4	4.4	120.4	32.6	120.4	4.65	120.4	24.4				
112.973	0.914	120.8	1.788	120.8	4.7	120.8	32.6	120.8	4.65	120.8	24.4				
113.346	0.905	121.2	1.789	121.2	5	121.2	32.6	121.2	4.65	121.2	24.4				
113.72	0.879	121.6	1.788	121.6	5.3	121.6	32.6	121.6	4.65	121.6	24.4				
114.093	0.861	122	1.788	122	5.6	122	32.6	122	4.65	122	24.4				
114.466	0.941	122.4	1.789	122.4	5.9	122.4	32.6	122.4	4.65	122.4	24.4				
114.84	0.904	122.8	1.789	122.8	6.2	122.8	32.6	122.8	4.65	122.8	24.4				
115.213	0.928	123.2	1.789	123.2	6.5	123.2	32.6	123.2	4.65	123.2	24.4				
115.586	0.873	123.6	1.789	123.6	6.8	123.6	32.6	123.6	4.65	123.6	24.4				
115.96	0.888	124	1.789	124	7.1	124	32.6	124	4.65	124	24.4				
116.333	0.866	124.4	1.788	124.4	7.4	124.4	32.6	124.4	4.65	124.4	24.4				
116.706	0.87	124.8	1.789	124.8	7.7	124.8	32.6	124.8	4.65	124.8	24.4				
117.08	0.852	125.2	1.789	125.2	8	125.2	32.6	125.2	4.65	125.2	24.4				
117.453	0.861	125.6	1.79	125.6	8.3	125.6	32.6	125.6	4.65	125.6	24.4				
117.826	0.87	126	1.789	126	8.6	126	32.6	126	4.65	126	24.4				
118.2	0.869	126.4	1.788	126.4	8.9	126.4	32.6	126.4	4.65	126.4	24.4				
118.573	0.896	126.8	1.789	126.8	9.2	126.8	32.6	126.8	4.65	126.8	24.4				
118.946	0.836	127.2	1.79	127.2	9.5	127.2	32.6	127.2	4.65	127.2	24.4				
119.32	0.885	127.6	1.791	127.6	9.8	127.6	32.6	127.6	4.65	127.6	24.4				
119.693	0.918	128	1.791	128	10.1	128	32.6	128	4.65	128	24.4				
120.066	0.922	128.4	1.794	128.4	10.4	128.4	32.6	128.4	4.64	128.4	24.4				
120.44	0.902	128.8	1.803	128.8	10.7	128.8	32.6	128.8	4.63	128.8	24.4				
120.813	0.933	129.2	1.821	129.2	11	129.2	32.6	129.2	4.63	129.2	24.4				
121.186	0.893	129.6	1.847	129.6	11.3	129.6	32.6	129.6	4.61	129.6	24.4				
121.56	0.923	130	1.882	130	11.6	130	32.6	130	4.61	130	24.4				
121.933	0.884	130.4	1.929	130.4	11.9	130.4	32.6	130.4	4.59	130.4	24.4				
122.306	0.886	130.8	1.984	130.8	12.2	130.8	32.6	130.8	4.59	130.8	24.4				
122.68	0.901	131.2	2.046	131.2	12.5	131.2	32.6	131.2	4.58	131.2	24.4				
123.053	0.909	131.6	2.111	131.6	12.8	131.6	32.6	131.6	4.58	131.6	24.4				
123.426	0.935	132	2.172	132	13.1	132	32.6	132	4.56	132	24.4				
123.8	0.915	132.4	2.229	132.4	13.4	132.4	32.6	132.4	4.56	132.4	24.4				
124.173	0.929	132.8	2.283	132.8	13.7	132.8	32.6	132.8	4.56	132.8	24.4				
124.546	0.939	133.2	2.335	133.2	14	133.2	32.6	133.2	4.54	133.2	24.4				
124.92	0.903	133.6	2.386	133.6	14.3	133.6	32.6	133.6	4.54	133.6	24.4				
125.293	0.877	134	2.435	134	14.6	134	32.6	134	4.53	134	24.4				
125.666	0.891	134.4	2.484	134.4	14.9	134.4	32.6	134.4	4.52	134.4	24.4				
126.04	0.882	134.8	2.532	134.8	15.2	134.8	32.6	134.8	4.52	134.8	24.4				
126.413	0.896	135.2	2.584	135.2	15.5	135.2	32.6	135.2	4.51	135.2	24.4				
126.786	0.901	135.6	2.635	135.6	15.8	135.6	32.6	135.6	4.5	135.6	24.4				
127.16	0.881	136	2.686	136	16.1	136	32.6	136	4.5	136	24.4				
127.533	0.901	136.4	2.739	136.4	16.4	136.4	32.6	136.4	4.5	136.4	24.4				
127.906	0.884	136.8	2.795	136.8	16.7	136.8	32.6	136.8	4.49	136.8	24.4				
128.28	0.893	137.2	2.851	137.2	17	137.2	32.6	137.2	4.49	137.2	24.4				
128.653	0.9	137.6	2.909	137.6	17.3	137.6	32.6	137.6	4.5	137.6	24.4				
129.026	0.891	138	2.969	138	17.6	138	32.6	138	4.5	138	24.4				
129.4	0.85	138.4	3.026	138.4	17.9	138.4	32.6	138.4	4.5	138.4	24.4				
129.773	0.831	138.8	3.081	138.8	18.2	138.8	32.6	138.8	4.52	138.8	24.4				
130.146	0.857	139.2	3.137	139.2	18.5	139.2	32.6	139.2	4.52	139.2	24.4				
130.52	0.93	139.6	3.187	139.6	18.8	139.6	32.6	139.6	4.52	139.6	24.4				
130.893	1.043	140	3.234	140	19.1	140	32.6	140	4.52	140	24.4				
131.266	1.214	140.4	3.283	140.4	19.4	140.4	32.6	140.4	4.52	140.4	24.4				
131.64	1.401	140.8	3.33	140.8	19.7	140.8	32.6	140.8	4.52	140.8	24.5				
132.013	1.563	141.2	3.374	141.2	20	141.2	32.6	141.2	4.52	141.2	24.5				
132.386	1.707	141.6	3.418	141.6	20.3	141.6	32.6	141.6	4.52	141.6	24.5				
132.76	1.919	142	3.467	142	20.6	142	32.6	142	4.52	142	24.5				
133.133	2.113	142.4	3.516	142.4	20.9	142.4	32.6	142.4	4.53	142.4	24.5				
133.506	2.253	142.8	3.565	142.8	21.2	142.8	32.6	142.8	4.54	142.8	24.5				
133.88	2.41	143.2	3.612	143.2	21.5	143.2	32.6	143.2	4.54	143.2	24.5				
134.253	2.54	143.6	3.664	143.6	21.8	143.6	32.6	143.6	4.54	143.6	24.5				
134.626	2.698	144	3.715	144	22.1	144	32.6	144	4.54	144	24.5				
135	2.92	144.4	3.767	144.4	22.4	144.4	32.6	144.4	4.54	144.4	24.5				
135.373	3.107	144.8	3.817	144.8	22.7	144.8	32.6	144.8	4.54	144.8	24.5				
135.746	3.383	145.2	3.869	145.2	23	145.2	32.6	145.2	4.54	145.2	24.5				
136.12	3.7	145.6	3.922	145.6	23.3	145.6	32.6	145.6	4.54	145.6	24.5				
136.493	4.157	146	3.977	146	23.6	146	32.6	146	4.54	146	24.5				
136.866	4.825	146.4	4.028	146.4	23.9	146.4	32.6	146.4	4.54	146.4	24.5				
137.24	5.811	146.8	4.085	146.8	24.2	146.8	32.6	146.8	4.54	146.8	24.5				
137.613	7.187	147.2	4.139	147.2	24.5	147.2	32.6	147.2	4.54	147.2	24.5				
137.986	9.07	147.6	4.19	147.6	24.8	147.6	32.6	147.6	4.54	147.6	24.5				
138.36	11.301	148	4.241	148	25.1	148	32.6	148	4.54	148	24.5				
138.733	13.912	148.4	4.293	148.4	25.4	148.4	32.6	148.4	4.54	148.4	24.6				
139.106	16.737	148.8	4.346	148.8	25.7	148.8	32.6	148.8	4.54	148.8	24.6				
139.48	19.609	149.2	4.398	149.2	26	149.2	32.6	149.2	4.55	149.2	24.6				
139.853	22.437	149.6	4.452	149.6	26.3	149.6	32.6	149.6	4.55	149.6	24.6				
140.226	25.182	150	4.505	150	26.6	150	32.6	150	4.55	150	24.6				
140.6	27.822	150.4	4.558	150.4	26.9	150.4	32.6	150.4	4.55	150.4	24.6				
140.973	30.38	150.8	4.611	150.8	27.2	150.8	32.6	150.8	4.55	150.8	24.6				
141.346	32.792	151.2	4.66	151.2	27.5	151.2	32.6	151.2	4.55	151.2	24.6				
141.72	35.066	151.6	4.709	151.6	27.8	151.6	32.6	151.6	4.55	151.6	24.6				
142.093	37.078	152	4.752	152	28.1	152	32.6	152	4.54	152	24.6				
142.466	38.997	152.4	4.792	152.4	28.4	152.4	32.6	152.4	4.54	152.4	24.6				
142.84	40.637	152.8	4.826	152.8	28.7	152.8	32.6	152.8	4.52	152.8	24.6				
143.213	42.054	153.2	4.847	153.2	29	153.2	32.6	153.2	4.52	153.2	24.6				
143.586	43.213	153.6	4.878	153.6	29.3	153.6	32.6	153.6	4.5	153.6	24.6				
143.96	44.206	154	4.907	154	29.6	154	32.6	154	4.5	154	24.6				
144.333	44.962	154.4	4.938	154.4	29.9	154.4	32.6	154.4	4.48	154.4	24.6				
144.706	45.576	154.8	4.977	154.8	30.2	154.8	32.6	154.8	4.48	154.8	24.6				
145.08	46.073	155.2	5.013	155.2	30.5	155.2	32.6	155.2	4.47	155.2	24.6				
145.453	46.427	155.6	5.049	155.6	30.8	155.6	32.6	155.6	4.46	155.6	24.6				
145.826	46.755	156	5.087	156	31.1	156	32.6	156	4.45	156	24.6				
146.2	46.868	156.4	5.122	156.4	31.4	156.4	32.6	156.4	4.45	156.4	24.6				
146.573	46.915	156.8	5.161	156.8	31.7	156.8	32.6	156.8	4.45	156.8	24.6				
146.946	46.86	157.2	5.205	157.2	32	157.2	32.6	157.2	4.44	157.2	24.6				
147.32	46.773	157.6	5.247	157.6	32.3	157.6	32.6	157.6	4.44	157.6	24.6				
147.693	46.527	158	5.29	158	32.6	158	32.6	158	4.43	158	24.6				
148.066	46.236	158.4	5.335	158.4	32.9	158.4	32.6	158.4	4.43	158.4	24.6				
148.44	45.804	158.8	5.381	158.8	33.2	158.8	32.6	158.8	4.43	158.8	24.6				
148.813	45.229	159.2	5.428	159.2	33.5	159.2	32.6	159.2	4.44	159.2	24.7				
149.186	44.619	159.6	5.477	159.6	33.8	159.6	32.6	159.6	4.44	159.6	24.7				
149.56	43.876	160	5.53	160	34.1	160	32.6	160	4.44	160	24.7				
149.933	43.292	160.4	5.588	160.4	34.4	160.4	32.6	160.4	4.44	160.4	24.7				
150.306	43.118	160.8	5.645	160.8	34.7	160.8	32.6	160.8	4.44	160.8	24.7				
150.68	44.24	161.2	5.706	161.2	35	161.2	32.6	161.2	4.44	161.2	24.7				
151.053	48.388	161.6	5.762	161.6	35.3	161.6	32.6	161.6	4.45	161.6	24.7				
151.426	57.911	162	5.816	162	35.6	162	32.6	162	4.46	162	24.7				
151.8	75.561	162.4	5.876	162.4	35.9	162.4	32.6	162.4	4.46	162.4	24.7				
152.173	102.4	162.8	5.937	162.8	36.2	162.8	32.6	162.8	4.46	162.8	24.7				
152.546	138.374	163.2	5.994	163.2	36.5	163.2	32.6	163.2	4.47	163.2	24.7				
152.92	181.387	163.6	6.055	163.6	36.8	163.6	32.6	163.6	4.48	163.6	24.7				
153.293	227.955	164	6.12	164	37.1	164	32.6	164	4.48	164	24.7				
153.666	275.391	164.4	6.183	164.4	37.4	164.4	32.6	164.4	4.48	164.4	24.7				
154.04	321.725	164.8	6.246	164.8	37.7	164.8	32.6	164.8	4.5	164.8	24.7				
154.413	365.401	165.2	6.311	165.2	38	165.2	32.6	165.2	4.5	165.2	24.7				
154.786	406.561	165.6	6.372	165.6	38.3	165.6	32.6	165.6	4.5	165.6	24.7				
155.16	442.258	166	6.436	166	38.6	166	32.6	166	4.52	166	24.7				
155.533	475.195	166.4	6.502	166.4	38.9	166.4	32.6	166.4	4.52	166.4	24.7				
155.906	503.52	166.8	6.564	166.8	39.2	166.8	32.6	166.8	4.52	166.8	24.7				
156.28	524.826	167.2	6.621	167.2	39.5	167.2	32.6	167.2	4.54	167.2	24.7				
156.653	548.504	167.6	6.676	167.6	39.8	167.6	32.6	167.6	4.54	167.6	24.7				
157.026	564.042	168	6.736	168	40.1	168	32.6	168	4.54	168	24.7				
157.4	575.669	168.4	6.794	168.4	40.4	168.4	32.6	168.4	4.55	168.4	24.7				
157.773	584.454	168.8	6.853	168.8	40.7	168.8	32.6	168.8	4.55	168.8	24.7				
158.146	591.269	169.2	6.92	169.2	41	169.2	32.6	169.2	4.56	169.2	24.8				
158.52	596.503	169.6	6.981	169.6	41.3	169.6	32.6	169.6	4.57	169.6	24.8				
158.893	599.666	170	7.037	170	41.6	170	32.6	170	4.57	170	24.8				
159.266	600.848	170.4	7.094	170.4	41.9	170.4	32.6	170.4	4.58	170.4	24.8				
159.64	599.719	170.8	7.15	170.8	42.2	170.8	32.6	170.8	4.59	170.8	24.8				
160.013	596.782	171.2	7.206	171.2	42.5	171.2	32.6	171.2	4.59	171.2	24.8				
160.386	591.687	171.6	7.26	171.6	42.8	171.6	32.6	171.6	4.59	171.6	24.8				
160.76	584.857	172	7.318	172	43.1	172	32.6	172	4.59	172	24.8				
161.133	576.118	172.4	7.371	172.4	43.4	172.4	32.6	172.4	4.59	172.4	24.8				
161.506	565.682	172.8	7.428	172.8	43.7	172.8	32.6	172.8	4.61	172.8	24.8				
161.88	554.162	173.2	7.486	173.2	44	173.2	32.6	173.2	4.61	173.2	24.8				
162.253	541.528	173.6	7.547	173.6	44.3	173.6	32.6	173.6	4.61	173.6	24.8				
162.626	527.932	174	7.598	174	44.6	174	32.6	174	4.61	174	24.8				
163	513.513	174.4	7.646	174.4	44.9	174.4	32.6	174.4	4.61	174.4	24.8				
163.373	498.482	174.8	7.694	174.8	45.2	174.8	32.6	174.8	4.61	174.8	24.8				
163.746	482.614	175.2	7.75	175.2	45.5	175.2	32.6	175.2	4.61	175.2	24.8				
164.12	465.96	175.6	7.805	175.6	45.8	175.6	32.6	175.6	4.61	175.6	24.8				
164.493	448.811	176	7.864	176	46.1	176	32.6	176	4.61	176	24.8				
164.866	430.815	176.4	7.919	176.4	46.4	176.4	32.6	176.4	4.62	176.4	24.8				
165.24	412.336	176.8	7.973	176.8	46.7	176.8	32.6	176.8	4.63	176.8	24.8				
165.613	393.287	177.2	8.027	177.2	47	177.2	32.6	177.2	4.63	177.2	24.8				
165.986	373.791	177.6	8.076	177.6	47.3	177.6	32.6	177.6	4.63	177.6	24.8				
166.36	353.835	178	8.128	178	47.6	178	32.6	178	4.63	178	24.8				
166.733	332.793	178.4	8.182	178.4	47.9	178.4	32.6	178.4	4.63	178.4	24.8				
167.106	311.3	178.8	8.233	178.8	48.2	178.8	32.6	178.8	4.63	178.8	24.8				
167.48	289.826	179.2	8.287	179.2	48.5	179.2	32.6	179.2	4.63	179.2	24.8				
167.853	268.612	179.6	8.339	179.6	48.8	179.6	32.6	179.6	4.63	179.6	24.8				
168.226	247.706	180	8.39	180	49.1	180	32.6	180	4.63	180	24.8				
168.6	227.598	180.4	8.442	180.4	49.4	180.4	32.6	180.4	4.63	180.4	24.8				
168.973	208.149	180.8	8.493	180.8	49.7	180.8	32.6	180.8	4.63	180.8	24.8				
169.346	189.66	181.2	8.546	181.2	50	181.2	32.6	181.2	4.63	181.2	24.8				
169.72	171.617	181.6	7.216	181.6	100	181.6	100	181.6	4.67	181.6	24.8				
170.093	154.555	182	13.534	182	100	182	100	182	4.63	182	24.9				
170.466	138.087	182.4	11.22	182.4	100	182.4	100	182.4	4.7	182.4	25				
170.84	122.731	182.8	69.398	182.8	100	182.8	100	182.8	4.9	182.8	25				
171.213	108.534	183.2	78.732	183.2	100	183.2	100	183.2	5	183.2	25				
171.586	95.627	183.6	78.342	183.6	100	183.6	100	183.6	5.03	183.6	24.9				
171.96	84.196	184	9.079	184	100	184	67	184	4.79	184	24.8				
172.333	73.888	184.4	8.923	184.4	100	184.4	67	184.4	4.79	184.4	24.8				
172.706	64.828	184.8	9.012	184.8	100	184.8	67	184.8	4.79	184.8	24.8				
173.08	56.799	185.2	9.095	185.2	100	185.2	67	185.2	4.79	185.2	24.8				
173.453	49.72	185.6	9.17	185.6	100	185.6	67	185.6	4.8	185.6	24.8				
173.826	43.49	186	9.247	186	100	186	67	186	4.8	186	24.8				
174.2	38.068	186.4	9.336	186.4	100	186.4	67	186.4	4.81	186.4	24.8				
174.573	33.46	186.8	9.447	186.8	100	186.8	67	186.8	4.81	186.8	24.8				
174.946	29.55	187.2	9.564	187.2	100	187.2	67	187.2	4.81	187.2	24.8				
175.32	26.315	187.6	9.67	187.6	100	187.6	67	187.6	4.81	187.6	24.8				
175.693	23.463	188	9.776	188	100	188	67	188	4.81	188	24.8				
176.066	21.021	188.4	9.888	188.4	100	188.4	67	188.4	4.81	188.4	24.8				
176.44	18.973	188.8	9.989	188.8	100	188.8	67	188.8	4.81	188.8	24.8				
176.813	17.178	189.2	10.092	189.2	100	189.2	67	189.2	4.81	189.2	24.8				
177.186	15.706	189.6	10.206	189.6	100	189.6	67	189.6	4.81	189.6	24.8				
177.56	14.361	190	10.478	190	100	190	67	190	4.77	190	24.8				
177.933	13.216	190.4	13.078	190.4	100	190.4	67	190.4	4.59	190.4	24.8				
178.306	12.186	190.8	25.859	190.8	100	190.8	67	190.8	4.17	190.8	24.8				
178.68	11.339	191.2	51.168	191.2	100	191.2	67	191.2	3.75	191.2	24.8				
179.053	10.564	191.6	73.935	191.6	100	191.6	67	191.6	3.54	191.6	24.8				
179.426	9.865	192	84.149	192	100	192	67	192	3.44	192	24.8				
179.8	9.224	192.4	87.406	192.4	100	192.4	67	192.4	3.42	192.4	24.8				
180.173	8.641	192.8	88.601	192.8	100	192.8	67	192.8	3.42	192.8	24.8				
180.546	8.096	193.2	89.073	193.2	100	193.2	67	193.2	3.42	193.2	24.8				
180.92	7.606	193.6	89.182	193.6	100	193.6	67	193.6	3.44	193.6	24.8				
181.293	7.176	194	89.234	194	100	194	67	194	3.44	194	24.8				
181.666	-0.326	194.4	89.37	194.4	100	194.4	67	194.4	3.44	194.4	24.8				
182.04	-0.471	194.8	89.542	194.8	100	194.8	67	194.8	3.44	194.8	24.7				
182.413	0.117	195.2	89.587	195.2	100	195.2	67	195.2	3.44	195.2	24.7				
182.786	-0.141	195.6	89.648	195.6	100	195.6	67	195.6	3.46	195.6	24.7				
183.16	-0.557	196	89.768	196	100	196	67	196	3.46	196	24.6				
183.533	-0.459	196.4	89.761	196.4	100	196.4	67	196.4	3.46	196.4	24.6				
183.906	6.365	196.8	89.787	196.8	100	196.8	67	196.8	3.46	196.8	24.5				
184.28	5.827	197.2	89.889	197.2	100	197.2	67	197.2	3.47	197.2	24.5				
184.653	5.139	197.6	89.859	197.6	100	197.6	67	197.6	3.47	197.6	24.5				
185.026	4.67	198	89.797	198	100	198	67	198	3.47	198	24.5				
185.4	4.249	198.4	89.795	198.4	100	198.4	67	198.4	3.49	198.4	24.5				
185.773	3.848	198.8	89.823	198.8	100	198.8	67	198.8	3.49	198.8	24.4				
186.146	3.522	199.2	93.418	199.2	0	199.2	100	199.2	8.02	199.2	25.1				
186.52	3.013	199.6	91.886	199.6	0	199.6	100	199.6	7.54	199.6	25.3				
186.893	2.619	200	144.285	200	0	200	100	200	12.66	200	25.4				
187.266	2.219	200.4	174.262	200.4	0	200.4	100	200.4	12.65	200.4	25.5				
187.64	1.85	200.8	179.89	200.8	0	200.8	100	200.8	12.67	200.8	25.4				
188.013	1.51	201.2	186.935	201.2	0	201.2	100	201.2	12.67	201.2	25.3				
188.386	1.367	201.6	175.329	201.6	0	201.6	67	201.6	12.69	201.6	25.2				
188.76	1.335	202	105.047	202	0	202	67	202	12.34	202	25.2				
189.133	1.511	202.4	91.478	202.4	0	202.4	67	202.4	10.66	202.4	25.2				
189.506	2.129	202.8	90.795	202.8	0	202.8	67	202.8	10.03	202.8	25.2				
189.88	3.099	203.2	88.523	203.2	0	203.2	67	203.2	10.13	203.2	25.1				
190.253	10.161	203.6	89.277	203.6	0	203.6	67	203.6	9.34	203.6	24.8				
190.626	193.536	204	89.461	204	0	204	67	204	8.96	204	24.7				
191	290.657	204.4	89.599	204.4	0	204.4	67	204.4	8.75	204.4	24.6				
191.373	143.392	204.8	89.608	204.8	0	204.8	67	204.8	8.17	204.8	24.6				
191.746	57.629	205.2	89.764	205.2	0	205.2	67	205.2	6.48	205.2	24.5				
192.12	21.63	205.6	89.767	205.6	0	205.6	67	205.6	5.2	205.6	24.5				
192.493	7.64	206	89.734	206	0	206	67	206	4.22	206	24.5				
192.866	2.427	206.4	89.856	206.4	0	206.4	67	206.4	3.96	206.4	24.4				
193.24	0.484	206.8	89.887	206.8	0	206.8	67	206.8	4.11	206.8	24.4				
193.613	-0.222	207.2	89.905	207.2	0	207.2	67	207.2	3.83	207.2	24.4				
193.986	-0.586	207.6	89.913	207.6	0	207.6	67	207.6	3.82	207.6	24.4				
194.36	-0.762	208	89.9	208	0	208	67	208	4.03	208	24.4				
194.733	-0.821	208.4	89.912	208.4	0	208.4	67	208.4	4.02	208.4	24.4				
