PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection	
0.515	-0.137	0.858	86.802	1.717	5.89	0.858	0.36	0.858	7.87	         	            	         	            
0.52	-0.133	0.867	86.802	1.733	5.89	0.867	0.37	0.867	7.87	         	            	         	            
0.525	-0.135	0.875	86.809	1.75	5.89	0.875	0.37	0.875	7.87	         	            	         	            
0.53	-0.135	0.883	86.809	1.767	5.89	0.883	0.37	0.883	7.87	         	            	         	            
0.535	-0.124	0.892	86.806	1.783	5.89	0.892	0.38	0.892	7.87	         	            	         	            
0.54	-0.115	0.9	86.806	1.8	5.89	0.9	0.37	0.9	7.87	         	            	         	            
0.545	-0.115	0.908	86.809	1.817	5.89	0.908	0.37	0.908	7.87	         	            	         	            
0.55	-0.121	0.917	86.809	1.833	5.89	0.917	0.37	0.917	7.87	         	            	         	            
0.555	-0.129	0.925	86.819	1.85	5.89	0.925	0.36	0.925	7.87	         	            	         	            
0.56	-0.139	0.933	86.819	1.867	5.89	0.933	0.36	0.933	7.87	         	            	         	            
0.565	-0.142	0.942	86.819	1.883	5.89	0.942	0.36	0.942	7.87	         	            	         	            
0.57	-0.143	0.95	86.819	1.9	5.89	0.95	0.36	0.95	7.87	         	            	         	            
0.575	-0.151	0.958	86.807	1.917	5.89	0.958	0.36	0.958	7.87	         	            	         	            
0.58	-0.157	0.967	86.807	1.933	5.89	0.967	0.36	0.967	7.87	         	            	         	            
0.585	-0.155	0.975	86.801	1.95	5.89	0.975	0.36	0.975	7.87	         	            	         	            
0.59	-0.15	0.983	86.801	1.967	5.89	0.983	0.36	0.983	7.87	         	            	         	            
0.595	-0.141	0.992	86.802	1.983	5.89	0.992	0.37	0.992	7.87	         	            	         	            
0.6	-0.14	1	86.802	2	5.89	1	0.36	1	7.87	         	            	         	            
0.605	-0.148	1.008	86.8	2.017	5.89	1.008	0.36	1.008	7.87	         	            	         	            
0.61	-0.152	1.017	86.8	2.033	5.89	1.017	0.36	1.017	7.87	         	            	         	            
0.615	-0.15	1.025	86.797	2.05	5.89	1.025	0.36	1.025	7.87	         	            	         	            
0.62	-0.145	1.033	86.797	2.067	5.89	1.033	0.36	1.033	7.87	         	            	         	            
0.625	-0.139	1.042	86.795	2.083	5.89	1.042	0.36	1.042	7.87	         	            	         	            
0.63	-0.145	1.05	86.795	2.1	5.89	1.05	0.36	1.05	7.87	         	            	         	            
0.635	-0.154	1.058	86.784	2.117	5.89	1.058	0.36	1.058	7.87	         	            	         	            
0.64	-0.157	1.067	86.784	2.133	5.89	1.067	0.37	1.067	7.87	         	            	         	            
0.645	-0.146	1.075	86.773	2.15	5.89	1.075	0.37	1.075	7.87	         	            	         	            
0.65	-0.135	1.083	86.773	2.167	5.89	1.083	0.36	1.083	7.87	         	            	         	            
0.655	-0.128	1.092	86.771	2.183	5.89	1.092	0.37	1.092	7.87	         	            	         	            
0.66	-0.135	1.1	86.771	2.2	5.89	1.1	0.37	1.1	7.87	         	            	         	            
0.665	-0.144	1.108	86.782	2.217	5.89	1.108	0.36	1.108	7.87	         	            	         	            
0.67	-0.15	1.117	86.782	2.233	5.89	1.117	0.36	1.117	7.87	         	            	         	            
0.675	-0.152	1.125	86.797	2.25	5.89	1.125	0.36	1.125	7.87	         	            	         	            
0.68	-0.147	1.133	86.797	2.267	5.89	1.133	0.36	1.133	7.87	         	            	         	            
0.685	-0.144	1.142	86.811	2.283	5.89	1.142	0.37	1.142	7.87	         	            	         	            
0.69	-0.147	1.15	86.811	2.3	5.89	1.15	0.37	1.15	7.87	         	            	         	            
0.695	-0.156	1.158	86.815	2.317	5.89	1.158	0.37	1.158	7.87	         	            	         	            
0.7	-0.152	1.167	86.815	2.333	5.89	1.167	0.37	1.167	7.87	         	            	         	            
0.705	-0.149	1.175	86.802	2.35	5.89	1.175	0.37	1.175	7.87	         	            	         	            
0.71	-0.15	1.183	86.802	2.367	5.89	1.183	0.36	1.183	7.87	         	            	         	            
0.715	-0.155	1.192	86.785	2.383	5.89	1.192	0.36	1.192	7.87	         	            	         	            
0.72	-0.158	1.2	86.785	2.4	5.89	1.2	0.36	1.2	7.87	         	            	         	            
0.725	-0.168	1.208	86.794	2.417	5.89	1.208	0.36	1.208	7.87	         	            	         	            
0.73	-0.176	1.217	86.794	2.433	5.89	1.217	0.36	1.217	7.87	         	            	         	            
0.735	-0.183	1.225	86.791	2.45	5.89	1.225	0.36	1.225	7.87	         	            	         	            
0.74	-0.188	1.233	86.791	2.467	5.89	1.233	0.37	1.233	7.87	         	            	         	            
0.745	-0.196	1.242	86.77	2.483	5.89	1.242	0.37	1.242	7.87	         	            	         	            
0.75	-0.193	1.25	86.77	2.5	5.89	1.25	0.36	1.25	7.87	         	            	         	            
0.755	-0.189	1.258	86.771	2.517	5.89	1.258	0.36	1.258	7.87	         	            	         	            
0.76	-0.185	1.267	86.771	2.533	5.89	1.267	0.36	1.267	7.87	         	            	         	            
0.765	-0.183	1.275	86.784	2.55	5.89	1.275	0.36	1.275	7.87	         	            	         	            
0.77	-0.182	1.283	86.784	2.567	5.89	1.283	0.36	1.283	7.87	         	            	         	            
0.775	-0.183	1.292	86.799	2.583	5.89	1.292	0.36	1.292	7.87	         	            	         	            
0.78	-0.178	1.3	86.799	2.6	5.89	1.3	0.36	1.3	7.87	         	            	         	            
0.785	-0.17	1.308	86.812	2.617	5.89	1.308	0.37	1.308	7.87	         	            	         	            
0.79	-0.165	1.317	86.812	2.633	5.89	1.317	0.37	1.317	7.87	         	            	         	            
0.795	-0.161	1.325	86.823	2.65	5.89	1.325	0.37	1.325	7.87	         	            	         	            
0.8	-0.157	1.333	86.823	2.667	5.89	1.333	0.36	1.333	7.87	         	            	         	            
0.805	-0.156	1.342	86.827	2.683	5.89	1.342	0.36	1.342	7.87	         	            	         	            
0.81	-0.15	1.35	86.827	2.7	5.89	1.35	0.36	1.35	7.87	         	            	         	            
0.815	-0.154	1.358	86.834	2.717	5.89	1.358	0.36	1.358	7.87	         	            	         	            
0.82	-0.163	1.367	86.834	2.733	5.89	1.367	0.36	1.367	7.87	         	            	         	            
0.825	-0.175	1.375	86.842	2.75	5.89	1.375	0.36	1.375	7.87	         	            	         	            
0.83	-0.188	1.383	86.842	2.767	5.89	1.383	0.36	1.383	7.87	         	            	         	            
0.835	-0.194	1.392	86.835	2.783	5.89	1.392	0.36	1.392	7.87	         	            	         	            
0.84	-0.196	1.4	86.835	2.8	5.89	1.4	0.36	1.4	7.87	         	            	         	            
0.845	-0.199	1.408	86.822	2.817	5.89	1.408	0.36	1.408	7.87	         	            	         	            
0.85	-0.197	1.417	86.822	2.833	5.89	1.417	0.36	1.417	7.87	         	            	         	            
0.855	-0.188	1.425	86.819	2.85	5.89	1.425	0.36	1.425	7.87	         	            	         	            
0.86	-0.176	1.433	86.819	2.867	5.89	1.433	0.37	1.433	7.87	         	            	         	            
0.865	-0.169	1.442	86.816	2.883	5.89	1.442	0.36	1.442	7.87	         	            	         	            
0.87	-0.159	1.45	86.816	2.9	5.89	1.45	0.37	1.45	7.87	         	            	         	            
0.875	-0.148	1.458	86.814	2.917	5.89	1.458	0.37	1.458	7.87	         	            	         	            
0.88	-0.141	1.467	86.814	2.933	5.89	1.467	0.36	1.467	7.87	         	            	         	            
0.885	-0.139	1.475	86.806	2.95	5.89	1.475	0.37	1.475	7.87	         	            	         	            
0.89	-0.139	1.483	86.806	2.967	5.89	1.483	0.36	1.483	7.87	         	            	         	            
0.895	-0.149	1.492	86.789	2.983	5.89	1.492	0.36	1.492	7.87	         	            	         	            
0.9	-0.159	1.5	86.789	3	5.89	1.5	0.36	1.5	7.87	         	            	         	            
0.905	-0.165	1.508	86.767	3.017	5.89	1.508	0.36	1.508	7.87	         	            	         	            
0.91	-0.168	1.517	86.767	3.033	5.89	1.517	0.36	1.517	7.87	         	            	         	            
0.915	-0.171	1.525	86.753	3.05	5.89	1.525	0.36	1.525	7.87	         	            	         	            
0.92	-0.175	1.533	86.753	3.067	5.89	1.533	0.37	1.533	7.87	         	            	         	            
0.925	-0.173	1.542	86.75	3.083	5.89	1.542	0.36	1.542	7.87	         	            	         	            
0.93	-0.17	1.55	86.75	3.1	5.89	1.55	0.36	1.55	7.87	         	            	         	            
0.935	-0.175	1.558	86.764	3.117	5.89	1.558	0.36	1.558	7.87	         	            	         	            
0.94	-0.175	1.567	86.764	3.133	5.89	1.567	0.36	1.567	7.87	         	            	         	            
0.945	-0.173	1.575	86.783	3.15	5.89	1.575	0.36	1.575	7.87	         	            	         	            
0.95	-0.172	1.583	86.783	3.167	5.89	1.583	0.36	1.583	7.87	         	            	         	            
0.955	-0.168	1.592	86.795	3.183	5.89	1.592	0.36	1.592	7.87	         	            	         	            
0.96	-0.151	1.6	86.795	3.2	5.89	1.6	0.36	1.6	7.87	         	            	         	            
0.965	-0.137	1.608	86.815	3.217	5.89	1.608	0.36	1.608	7.87	         	            	         	            
0.97	-0.138	1.617	86.815	3.233	5.89	1.617	0.36	1.617	7.87	         	            	         	            
0.975	-0.139	1.625	86.83	3.25	5.89	1.625	0.36	1.625	7.87	         	            	         	            
0.98	-0.133	1.633	86.83	3.267	5.89	1.633	0.36	1.633	7.87	         	            	         	            
0.985	-0.121	1.642	86.83	3.283	5.89	1.642	0.36	1.642	7.87	         	            	         	            
0.99	-0.112	1.65	86.83	3.3	5.89	1.65	0.36	1.65	7.87	         	            	         	            
0.995	-0.097	1.658	86.824	3.317	5.89	1.658	0.37	1.658	7.87	         	            	         	            
1	-0.094	1.667	86.824	3.333	5.89	1.667	0.37	1.667	7.87	         	            	         	            
1.005	-0.106	1.675	86.825	3.35	5.89	1.675	0.37	1.675	7.87	         	            	         	            
1.01	-0.116	1.683	86.825	3.367	5.89	1.683	0.37	1.683	7.87	         	            	         	            
1.015	-0.114	1.692	86.831	3.383	5.89	1.692	0.37	1.692	7.87	         	            	         	            
1.02	-0.111	1.7	86.831	3.4	5.89	1.7	0.37	1.7	7.87	         	            	         	            
1.025	-0.115	1.708	86.837	3.417	5.89	1.708	0.36	1.708	7.87	         	            	         	            
1.03	-0.113	1.717	86.837	3.433	5.89	1.717	0.36	1.717	7.87	         	            	         	            
1.035	-0.112	1.725	86.838	3.45	5.89	1.725	0.37	1.725	7.87	         	            	         	            
1.04	-0.116	1.733	86.838	3.467	5.89	1.733	0.37	1.733	7.87	         	            	         	            
1.045	-0.123	1.742	86.835	3.483	5.89	1.742	0.36	1.742	7.87	         	            	         	            
1.05	-0.117	1.75	86.835	3.5	5.89	1.75	0.36	1.75	7.87	         	            	         	            
1.055	-0.112	1.758	86.819	3.517	5.89	1.758	0.36	1.758	7.87	         	            	         	            
1.06	-0.109	1.767	86.819	3.533	5.89	1.767	0.37	1.767	7.87	         	            	         	            
1.065	-0.112	1.775	86.8	3.55	5.89	1.775	0.36	1.775	7.87	         	            	         	            
1.07	-0.121	1.783	86.8	3.567	5.89	1.783	0.37	1.783	7.87	         	            	         	            
1.075	-0.137	1.792	86.786	3.583	5.89	1.792	0.37	1.792	7.87	         	            	         	            
1.08	-0.145	1.8	86.786	3.6	5.89	1.8	0.36	1.8	7.87	         	            	         	            
1.085	-0.152	1.808	86.775	3.617	5.89	1.808	0.36	1.808	7.87	         	            	         	            
1.09	-0.152	1.817	86.775	3.633	5.89	1.817	0.36	1.817	7.87	         	            	         	            
1.095	-0.152	1.825	86.77	3.65	5.89	1.825	0.36	1.825	7.87	         	            	         	            
1.1	-0.155	1.833	86.77	3.667	5.89	1.833	0.36	1.833	7.87	         	            	         	            
1.105	-0.159	1.842	86.765	3.683	5.89	1.842	0.36	1.842	7.87	         	            	         	            
1.11	-0.156	1.85	86.765	3.7	5.89	1.85	0.36	1.85	7.87	         	            	         	            
1.115	-0.153	1.858	86.771	3.717	5.89	1.858	0.36	1.858	7.87	         	            	         	            
1.12	-0.15	1.867	86.771	3.733	5.89	1.867	0.36	1.867	7.87	         	            	         	            
1.125	-0.151	1.875	86.782	3.75	5.89	1.875	0.36	1.875	7.87	         	            	         	            
1.13	-0.155	1.883	86.782	3.767	5.89	1.883	0.36	1.883	7.87	         	            	         	            
1.135	-0.167	1.892	86.785	3.783	5.89	1.892	0.37	1.892	7.87	         	            	         	            
1.14	-0.173	1.9	86.785	3.8	5.89	1.9	0.37	1.9	7.87	         	            	         	            
1.145	-0.177	1.908	86.785	3.817	5.89	1.908	0.36	1.908	7.87	         	            	         	            
1.15	-0.177	1.917	86.785	3.833	5.89	1.917	0.36	1.917	7.87	         	            	         	            
1.155	-0.177	1.925	86.787	3.85	5.89	1.925	0.36	1.925	7.87	         	            	         	            
1.16	-0.179	1.933	86.787	3.867	5.9	1.933	0.36	1.933	7.87	         	            	         	            
1.165	-0.183	1.942	86.792	3.883	5.9	1.942	0.37	1.942	7.87	         	            	         	            
1.17	-0.182	1.95	86.792	3.9	5.9	1.95	0.36	1.95	7.87	         	            	         	            
1.175	-0.176	1.958	86.799	3.917	5.9	1.958	0.36	1.958	7.87	         	            	         	            
1.18	-0.171	1.967	86.799	3.933	5.9	1.967	0.36	1.967	7.87	         	            	         	            
1.185	-0.164	1.975	86.796	3.95	5.9	1.975	0.37	1.975	7.87	         	            	         	            
1.19	-0.157	1.983	86.796	3.967	5.9	1.983	0.36	1.983	7.87	         	            	         	            
1.195	-0.153	1.992	86.797	3.983	5.9	1.992	0.36	1.992	7.87	         	            	         	            
1.2	-0.151	2	86.797	4	5.9	2	0.36	2	7.87	         	            	         	            
1.205	-0.145	2.008	86.813	4.017	5.9	2.008	0.36	2.008	7.87	         	            	         	            
1.21	-0.134	2.017	86.813	4.033	5.9	2.017	0.36	2.017	7.87	         	            	         	            
1.215	-0.123	2.025	86.83	4.05	5.9	2.025	0.36	2.025	7.87	         	            	         	            
1.22	-0.12	2.033	86.83	4.067	5.9	2.033	0.37	2.033	7.87	         	            	         	            
1.225	-0.121	2.042	86.832	4.083	5.9	2.042	0.38	2.042	7.87	         	            	         	            
1.23	-0.122	2.05	86.832	4.1	5.9	2.05	0.37	2.05	7.87	         	            	         	            
1.235	-0.129	2.058	86.824	4.117	5.9	2.058	0.37	2.058	7.87	         	            	         	            
1.24	-0.135	2.067	86.824	4.133	5.9	2.067	0.37	2.067	7.87	         	            	         	            
1.245	-0.135	2.075	86.82	4.15	5.9	2.075	0.36	2.075	7.87	         	            	         	            
1.25	-0.134	2.083	86.82	4.167	5.9	2.083	0.36	2.083	7.87	         	            	         	            
1.255	-0.136	2.092	86.824	4.183	5.9	2.092	0.36	2.092	7.87	         	            	         	            
1.26	-0.147	2.1	86.824	4.2	5.9	2.1	0.36	2.1	7.87	         	            	         	            
1.265	-0.151	2.108	86.839	4.217	5.9	2.108	0.36	2.108	7.87	         	            	         	            
1.27	-0.147	2.117	86.839	4.233	5.9	2.117	0.36	2.117	7.87	         	            	         	            
1.275	-0.141	2.125	86.851	4.25	5.9	2.125	0.36	2.125	7.87	         	            	         	            
1.28	-0.129	2.133	86.851	4.267	5.9	2.133	0.36	2.133	7.87	         	            	         	            
1.285	-0.11	2.142	86.849	4.283	5.9	2.142	0.37	2.142	7.87	         	            	         	            
1.29	-0.101	2.15	86.849	4.3	5.9	2.15	0.37	2.15	7.87	         	            	         	            
1.295	-0.101	2.158	86.842	4.317	5.9	2.158	0.37	2.158	7.87	         	            	         	            
1.3	-0.093	2.167	86.842	4.333	5.9	2.167	0.36	2.167	7.87	         	            	         	            
1.305	-0.085	2.175	86.838	4.35	5.9	2.175	0.36	2.175	7.87	         	            	         	            
1.31	-0.08	2.183	86.838	4.367	5.9	2.183	0.35	2.183	7.87	         	            	         	            
1.315	-0.083	2.192	86.836	4.383	5.9	2.192	0.36	2.192	7.87	         	            	         	            
1.32	-0.09	2.2	86.836	4.4	5.9	2.2	0.36	2.2	7.87	         	            	         	            
1.325	-0.106	2.208	86.842	4.417	5.9	2.208	0.36	2.208	7.87	         	            	         	            
1.33	-0.129	2.217	86.842	4.433	5.9	2.217	0.36	2.217	7.87	         	            	         	            
1.335	-0.149	2.225	86.849	4.45	5.9	2.225	0.37	2.225	7.87	         	            	         	            
1.34	-0.156	2.233	86.849	4.467	5.9	2.233	0.37	2.233	7.87	         	            	         	            
1.345	-0.156	2.242	86.842	4.483	5.9	2.242	0.37	2.242	7.87	         	            	         	            
1.35	-0.153	2.25	86.842	4.5	5.9	2.25	0.36	2.25	7.87	         	            	         	            
1.355	-0.154	2.258	86.828	4.517	5.9	2.258	0.36	2.258	7.87	         	            	         	            
1.36	-0.152	2.267	86.828	4.533	5.9	2.267	0.36	2.267	7.87	         	            	         	            
1.365	-0.15	2.275	86.818	4.55	5.9	2.275	0.36	2.275	7.87	         	            	         	            
1.37	-0.144	2.283	86.818	4.567	5.9	2.283	0.36	2.283	7.87	         	            	         	            
