PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection	
Pulse Inj  235cmhr TF21JUN2016B001:PulseInjection_UV1_280nm		Pulse Inj 235cmhr TF21JUN2016B001:PulseInjection_Cond		Pulse Inj S 235cmhr TF21JUN2016B001:PulseInjection_pH		Pulse Inj 235cmhr TF21JUN2016B001:PulseInjection_Pressure		Pulse Inj 235cmhr TF21JUN2016B001:PulseInjection_Flow		Pulse Inj 235cmhr TF21JUN2016B001:PulseInjection_Inject		Pulse Inj 235cmhr TF21JUN2016B001:PulseInjection_Logbook	
min	 mAU	min	 mS/cm	min	 	min	 MPa	min	 ml/min	min	(Injections)	min	(Set Marks)
0	-0.188	0	86.824	0	5.88	0	0.24	0	3.15	0	" ""3"""	-0.003	" ""Block Pulse_Injection"""
0.005	-0.19	0.008	86.83	0.017	5.88	0.008	0.24	0.008	3.15	0.023	" ""3"""	-0.003	" ""Base Volume {ml}"""
0.01	-0.188	0.017	86.83	0.033	5.88	0.017	0.24	0.017	3.15	         	            	-0.003	" ""InjectionMark """
0.015	-0.186	0.025	86.842	0.05	5.88	0.025	0.25	0.025	3.15	         	            	-0.003	" ""InjectionValve Inject """
0.02	-0.186	0.033	86.842	0.067	5.88	0.033	0.27	0.033	3.15	         	            	0.157	" ""End Block"""
0.025	-0.188	0.042	86.851	0.083	5.88	0.042	0.27	0.042	3.15	         	            	0.157	" ""InjectionValve Load """
0.03	-0.195	0.05	86.851	0.1	5.88	0.05	0.26	0.05	3.15	         	            	0.177	" ""Flow     7.87 ml/min"""
0.035	-0.199	0.058	86.852	0.117	5.88	0.058	0.26	0.058	3.15	         	            	11.37	" ""End Block"""
0.04	-0.193	0.067	86.852	0.133	5.88	0.067	0.27	0.067	3.15	         	            	         	            
0.045	-0.181	0.075	86.85	0.15	5.88	0.075	0.26	0.075	3.15	         	            	         	            
0.05	-0.169	0.083	86.85	0.167	5.88	0.083	0.25	0.083	3.15	         	            	         	            
0.055	-0.16	0.092	86.857	0.183	5.88	0.092	0.25	0.092	3.15	         	            	         	            
0.06	-0.17	0.1	86.857	0.2	5.88	0.1	0.26	0.1	3.15	         	            	         	            
0.065	-0.176	0.108	86.863	0.217	5.88	0.108	0.27	0.108	3.15	         	            	         	            
0.07	-0.172	0.117	86.863	0.233	5.88	0.117	0.26	0.117	3.15	         	            	         	            
0.075	-0.168	0.125	86.868	0.25	5.88	0.125	0.26	0.125	3.15	         	            	         	            
0.08	-0.168	0.133	86.868	0.267	5.88	0.133	0.26	0.133	3.15	         	            	         	            
0.085	-0.172	0.142	86.866	0.283	5.88	0.142	0.26	0.142	3.15	         	            	         	            
0.09	-0.181	0.15	86.866	0.3	5.88	0.15	0.27	0.15	3.15	         	            	         	            
0.095	-0.18	0.158	86.863	0.317	5.88	0.158	0.27	0.158	3.15	         	            	         	            
0.1	-0.165	0.167	86.863	0.333	5.88	0.167	0.26	0.167	3.15	         	            	         	            
0.105	-0.15	0.175	86.864	0.35	5.88	0.175	0.25	0.175	3.15	         	            	         	            
0.11	-0.142	0.183	86.864	0.367	5.88	0.183	0.25	0.183	3.15	         	            	         	            
0.115	-0.139	0.192	86.863	0.383	5.88	0.192	0.26	0.192	6.9	         	            	         	            
0.12	-0.147	0.2	86.863	0.4	5.88	0.2	0.29	0.2	6.9	         	            	         	            
0.125	-0.15	0.208	86.836	0.417	5.88	0.208	0.31	0.208	7.87	         	            	         	            
0.13	-0.157	0.217	86.836	0.433	5.88	0.217	0.36	0.217	7.87	         	            	         	            
0.135	-0.17	0.225	86.76	0.45	5.88	0.225	0.39	0.225	7.87	         	            	         	            
0.14	-0.188	0.233	86.76	0.467	5.88	0.233	0.39	0.233	7.87	         	            	         	            
0.145	-0.199	0.242	86.712	0.483	5.88	0.242	0.39	0.242	7.87	         	            	         	            
0.15	-0.205	0.25	86.712	0.5	5.88	0.25	0.38	0.25	7.87	         	            	         	            
0.155	-0.204	0.258	86.69	0.517	5.88	0.258	0.37	0.258	7.87	         	            	         	            
0.16	-0.198	0.267	86.69	0.533	5.88	0.267	0.36	0.267	7.87	         	            	         	            
0.165	-0.201	0.275	86.682	0.55	5.88	0.275	0.36	0.275	7.87	         	            	         	            
0.17	-0.207	0.283	86.682	0.567	5.88	0.283	0.36	0.283	7.87	         	            	         	            
0.175	-0.213	0.292	86.688	0.583	5.88	0.292	0.36	0.292	7.87	         	            	         	            
0.18	-0.208	0.3	86.688	0.6	5.88	0.3	0.36	0.3	7.87	         	            	         	            
0.185	-0.214	0.308	86.706	0.617	5.88	0.308	0.36	0.308	7.87	         	            	         	            
0.19	-0.207	0.317	86.706	0.633	5.88	0.317	0.36	0.317	7.87	         	            	         	            
0.195	-0.201	0.325	86.723	0.65	5.88	0.325	0.37	0.325	7.87	         	            	         	            
0.2	-0.199	0.333	86.723	0.667	5.88	0.333	0.36	0.333	7.87	         	            	         	            
0.205	-0.198	0.342	86.738	0.683	5.88	0.342	0.36	0.342	7.87	         	            	         	            
0.21	-0.178	0.35	86.738	0.7	5.88	0.35	0.36	0.35	7.87	         	            	         	            
0.215	-0.161	0.358	86.737	0.717	5.88	0.358	0.36	0.358	7.87	         	            	         	            
0.22	-0.146	0.367	86.737	0.733	5.88	0.367	0.36	0.367	7.87	         	            	         	            
0.225	-0.13	0.375	86.715	0.75	5.88	0.375	0.36	0.375	7.87	         	            	         	            
0.23	-0.119	0.383	86.715	0.767	5.88	0.383	0.36	0.383	7.87	         	            	         	            
0.235	-0.117	0.392	86.711	0.783	5.88	0.392	0.37	0.392	7.87	         	            	         	            
0.24	-0.111	0.4	86.711	0.8	5.88	0.4	0.37	0.4	7.87	         	            	         	            
0.245	-0.105	0.408	86.727	0.817	5.88	0.408	0.36	0.408	7.87	         	            	         	            
0.25	-0.101	0.417	86.727	0.833	5.88	0.417	0.36	0.417	7.87	         	            	         	            
0.255	-0.099	0.425	86.742	0.85	5.88	0.425	0.37	0.425	7.87	         	            	         	            
0.26	-0.096	0.433	86.742	0.867	5.88	0.433	0.37	0.433	7.87	         	            	         	            
0.265	-0.094	0.442	86.733	0.883	5.88	0.442	0.36	0.442	7.87	         	            	         	            
0.27	-0.095	0.45	86.733	0.9	5.88	0.45	0.37	0.45	7.87	         	            	         	            
0.275	-0.099	0.458	86.724	0.917	5.88	0.458	0.37	0.458	7.87	         	            	         	            
0.28	-0.105	0.467	86.724	0.933	5.88	0.467	0.37	0.467	7.87	         	            	         	            
0.285	-0.114	0.475	86.727	0.95	5.88	0.475	0.37	0.475	7.87	         	            	         	            
0.29	-0.122	0.483	86.727	0.967	5.88	0.483	0.37	0.483	7.87	         	            	         	            
0.295	-0.129	0.492	86.727	0.983	5.88	0.492	0.37	0.492	7.87	         	            	         	            
0.3	-0.139	0.5	86.727	1	5.88	0.5	0.37	0.5	7.87	         	            	         	            
0.305	-0.15	0.508	86.721	1.017	5.88	0.508	0.37	0.508	7.87	         	            	         	            
0.31	-0.145	0.517	86.721	1.033	5.88	0.517	0.37	0.517	7.87	         	            	         	            
0.315	-0.137	0.525	86.727	1.05	5.88	0.525	0.37	0.525	7.87	         	            	         	            
0.32	-0.135	0.533	86.727	1.067	5.88	0.533	0.38	0.533	7.87	         	            	         	            
0.325	-0.142	0.542	86.738	1.083	5.88	0.542	0.38	0.542	7.87	         	            	         	            
0.33	-0.144	0.55	86.738	1.1	5.88	0.55	0.37	0.55	7.87	         	            	         	            
0.335	-0.152	0.558	86.751	1.117	5.88	0.558	0.37	0.558	7.87	         	            	         	            
0.34	-0.156	0.567	86.751	1.133	5.88	0.567	0.36	0.567	7.87	         	            	         	            
0.345	-0.155	0.575	86.77	1.15	5.88	0.575	0.36	0.575	7.87	         	            	         	            
0.35	-0.157	0.583	86.77	1.167	5.88	0.583	0.36	0.583	7.87	         	            	         	            
0.355	-0.169	0.592	86.775	1.183	5.88	0.592	0.37	0.592	7.87	         	            	         	            
0.36	-0.178	0.6	86.775	1.2	5.88	0.6	0.37	0.6	7.87	         	            	         	            
0.365	-0.174	0.608	86.771	1.217	5.88	0.608	0.37	0.608	7.87	         	            	         	            
0.37	-0.17	0.617	86.771	1.233	5.88	0.617	0.37	0.617	7.87	         	            	         	            
0.375	-0.163	0.625	86.778	1.25	5.88	0.625	0.36	0.625	7.87	         	            	         	            
0.38	-0.161	0.633	86.778	1.267	5.88	0.633	0.37	0.633	7.87	         	            	         	            
0.385	-0.162	0.642	86.804	1.283	5.88	0.642	0.37	0.642	7.87	         	            	         	            
0.39	-0.17	0.65	86.804	1.3	5.88	0.65	0.37	0.65	7.87	         	            	         	            
0.395	-0.168	0.658	86.811	1.317	5.88	0.658	0.37	0.658	7.87	         	            	         	            
0.4	-0.168	0.667	86.811	1.333	5.88	0.667	0.37	0.667	7.87	         	            	         	            
0.405	-0.169	0.675	86.788	1.35	5.88	0.675	0.36	0.675	7.87	         	            	         	            
0.41	-0.168	0.683	86.788	1.367	5.89	0.683	0.37	0.683	7.87	         	            	         	            
0.415	-0.169	0.692	86.769	1.383	5.89	0.692	0.37	0.692	7.87	         	            	         	            
0.42	-0.182	0.7	86.769	1.4	5.89	0.7	0.36	0.7	7.87	         	            	         	            
0.425	-0.183	0.708	86.77	1.417	5.89	0.708	0.37	0.708	7.87	         	            	         	            
0.43	-0.175	0.717	86.77	1.433	5.89	0.717	0.37	0.717	7.87	         	            	         	            
0.435	-0.169	0.725	86.772	1.45	5.89	0.725	0.37	0.725	7.87	         	            	         	            
0.44	-0.168	0.733	86.772	1.467	5.89	0.733	0.36	0.733	7.87	         	            	         	            
0.445	-0.172	0.742	86.763	1.483	5.89	0.742	0.36	0.742	7.87	         	            	         	            
0.45	-0.173	0.75	86.763	1.5	5.89	0.75	0.36	0.75	7.87	         	            	         	            
0.455	-0.17	0.758	86.765	1.517	5.89	0.758	0.36	0.758	7.87	         	            	         	            
0.46	-0.159	0.767	86.765	1.533	5.89	0.767	0.36	0.767	7.87	         	            	         	            
0.465	-0.145	0.775	86.771	1.55	5.89	0.775	0.37	0.775	7.87	         	            	         	            
0.47	-0.137	0.783	86.771	1.567	5.89	0.783	0.37	0.783	7.87	         	            	         	            
0.475	-0.137	0.792	86.765	1.583	5.89	0.792	0.37	0.792	7.87	         	            	         	            
0.48	-0.129	0.8	86.765	1.6	5.89	0.8	0.37	0.8	7.87	         	            	         	            
0.485	-0.122	0.808	86.766	1.617	5.89	0.808	0.38	0.808	7.87	         	            	         	            
0.49	-0.125	0.817	86.766	1.633	5.89	0.817	0.37	0.817	7.87	         	            	         	            
0.495	-0.134	0.825	86.777	1.65	5.89	0.825	0.36	0.825	7.87	         	            	         	            
0.5	-0.142	0.833	86.777	1.667	5.89	0.833	0.36	0.833	7.87	         	            	         	            
0.505	-0.145	0.842	86.789	1.683	5.89	0.842	0.37	0.842	7.87	         	            	         	            
0.51	-0.144	0.85	86.789	1.7	5.89	0.85	0.37	0.85	7.87	         	            	         	            
