10		10		10		10		10		10		10	
SP2 pH 5pt1 TF20OCT6016A001:10_UV1_280nm		SP2 pH 5pt1 TF20OCT6016A001:10_Cond		SP2 pH 5pt1 TF20OCT6016A001:10_Conc		SP2 pH 5pt1 TF20OCT6016A001:10_pH		SP2 pH 5pt1 TF20OCT6016A001:10_Flow		SP2 pH 5pt1 TF20OCT6016A001:10_Fractions		SP2 pH 5pt1 TF20OCT6016A001:10_Logbook	
min	 mAU	min	 mS/cm	min	 %B	min	 	min	 ml/min	min	(Fractions)	min	(Set Marks)
   0.027	   -1.020000	   0.067	    1.836000	   0.067	    0.000000	   0.067	    5.120000	   0.067	    0.000000	  35.562	 "F3"	   0.000	 "Method Run 10/20/2016, 8:52:41 AM Mountain Daylight Time, Method : Betass"
   0.213	   -1.121000	   0.267	    1.842000	   0.267	    0.000000	   0.267	    5.120000	   0.267	    0.000000	 130.028	 "Waste"	   0.000	 "User default in control of the run"
   0.400	    0.915000	   0.467	   22.489000	   0.467	    0.000000	   0.467	   11.820000	   0.467	    6.430000	 153.962	 "F2"	   0.000	 "Batch ID: C0D77450-30E1-40B7-9C5C-739CF6B29133"
   0.587	    0.648000	   0.667	   22.525000	   0.667	    0.000000	   0.667	   11.930000	   0.667	    6.430000	 154.007	 "A1"	   0.000	 "Base CV, 50.27 {ml}, XK16_SP_Seph_FF_16/25"
   0.773	    0.561000	   0.867	   22.558000	   0.867	    0.000000	   0.867	   11.930000	   0.867	    6.430000	 155.595	 "A2"	   0.048	 "Alarm_Pressure Enabled ,     0.50 MPa,     0.00 MPa"
   0.960	    0.486000	   1.067	   22.583000	   1.067	    0.000000	   1.067	   11.930000	   1.067	    6.430000	 157.182	 "A3"	   0.048	 "Block Start_Conditions"
   1.147	    0.479000	   1.267	   22.602000	   1.267	    0.000000	   1.267	   11.940000	   1.267	    6.430000	 158.770	 "A4"	   0.048	 "Base SameAsMain"
   1.333	    0.481000	   1.467	   22.608000	   1.467	    0.000000	   1.467	   11.960000	   1.467	    6.430000	 160.357	 "A5"	   0.048	 "Wavelength  280 nm,  300 nm, OFF "
   1.520	    0.505000	   1.667	   22.599000	   1.667	    0.000000	   1.667	   11.970000	   1.667	    6.430000	 161.945	 "A6"	   0.048	 "AveragingTimeUV 2.56 sec"
