PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection	
Pulse Inj 282cmhr TF21JUN2016A006:PulseInjection_UV1_280nm		Pulse Inj 282cmhr TF21JUN2016A006:PulseInjection_Cond		Pulse Inj 282cmhr TF21JUN2016A006:PulseInjection_pH		Pulse Inj 282cmhr TF21JUN2016A006:PulseInjection_Pressure		Pulse Inj 282cmhr TF21JUN2016A006:PulseInjection_Flow		Pulse Inj 282cmhr TF21JUN2016A006:PulseInjection_Inject		Pulse Inj 282cmhr TF21JUN2016A006:PulseInjection_Logbook	
min	 mAU	min	 mS/cm	min	 	min	 MPa	min	 ml/min	min	(Injections)	min	(Set Marks)
0	-0.169	0	87.147	0	5.84	0	0.24	0	3.15	0	" ""3"""	-0.003	" ""Block Pulse_Injection"""
0.005	-0.155	0.008	87.149	0.017	5.84	0.008	0.24	0.008	3.15	0.023	" ""3"""	-0.003	" ""Base Volume {ml}"""
0.01	-0.142	0.017	87.149	0.033	5.84	0.017	0.24	0.017	3.15	         	            	-0.003	" ""InjectionMark """
0.015	-0.137	0.025	87.15	0.05	5.84	0.025	0.25	0.025	3.15	         	            	-0.003	" ""InjectionValve Inject """
0.02	-0.138	0.033	87.15	0.067	5.84	0.033	0.25	0.033	3.15	         	            	0.155	" ""End Block"""
0.025	-0.141	0.042	87.149	0.083	5.84	0.042	0.24	0.042	3.15	         	            	0.155	" ""InjectionValve Load """
0.03	-0.143	0.05	87.149	0.1	5.84	0.05	0.24	0.05	3.15	         	            	0.175	" ""Flow     9.45 ml/min"""
0.035	-0.143	0.058	87.147	0.117	5.84	0.058	0.25	0.058	3.15	         	            	10.833	" ""End Block"""
0.04	-0.152	0.067	87.147	0.133	5.84	0.067	0.25	0.067	3.15	         	            	         	            
0.045	-0.167	0.075	87.136	0.15	5.84	0.075	0.25	0.075	3.15	         	            	         	            
0.05	-0.179	0.083	87.136	0.167	5.84	0.083	0.25	0.083	3.15	         	            	         	            
