10		10		10		10		10		10		10	
SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_UV1_280nm		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Cond		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Conc		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_pH		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Flow		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Fractions		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Logbook	
min	 mAU	min	 mS/cm	min	 %B	min	 	min	 ml/min	min	(Fractions)	min	(Set Marks)
   8.640	   -8.402000	   8.167	  105.515000	   8.167	    0.000000	   8.167	    5.440000	   8.167	    6.430000	 258.775	 "B11"	   0.172	 "BufferValveA1 A12 "
   8.960	   -8.515000	   8.467	  105.768000	   8.467	    0.000000	   8.467	    5.410000	   8.467	    6.430000	 263.538	 "B12"	   0.172	 "Block DelayOp02min"
   9.280	   -8.488000	   8.767	  105.867000	   8.767	    0.000000	   8.767	    5.410000	   8.767	    6.430000	 268.300	 "C1"	   0.172	 "Base Time {min}"
   9.600	   -8.497000	   9.067	  105.975000	   9.067	    0.000000	   9.067	    5.420000	   9.067	    6.430000	 273.062	 "C2"	   0.192	 "End Block"
   9.920	   -8.488000	   9.367	  106.060000	   9.367	    0.000000	   9.367	    5.420000	   9.367	    6.430000	 277.823	 "C3"	   0.202	 "Pause 10/26/2016, 9:00:57 AM (System)"
  10.240	   -8.573000	   9.667	  106.158000	   9.667	    0.000000	   9.667	    5.420000	   9.667	    6.430000	 282.587	 "C4"	   0.202	 "PumpWashPurifier ON, OFF, OFF, OFF"
  10.560	   -8.599000	   9.967	  106.176000	   9.967	    0.000000	   9.967	    5.420000	   9.967	    6.430000	 287.348	 "C5"	   0.202	 "Continue 10/26/2016, 9:02:23 AM (System)"
  10.880	   -8.598000	  10.267	  106.262000	  10.267	    0.000000	  10.267	    5.420000	  10.267	    6.430000	 292.110	 "C6"	   0.202	 "Block DelayOp02min"
  11.200	   -8.644000	  10.567	  106.330000	  10.567	    0.000000	  10.567	    5.420000	  10.567	    6.430000	 296.873	 "C7"	   0.202	 "Base Time {min}"
  11.520	   -8.491000	  10.867	  106.316000	  10.867	    0.000000	  10.867	    5.420000	  10.867	    6.430000	 301.635	 "C8"	   0.222	 "End Block"
